lambda,stepsize,epsilon,batch_size,layer_number,neuron,activation,activation_output,initialization,seed,error_train,error_test,error_train_variance,error_test_variance,acc_train,acc_test,acc_train_variance,acc_validation_variance
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,0,0.0945842832382312,0.13498377713388068,0.0009438274864134793,0.0015351915790075249,0.9291666666666667,0.9166666666666666,0.0017013888888888897,0.004305555555555556
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,10,0.1009413418384556,0.12447012379743104,0.00011731186712475822,0.00018346923615913114,0.9333333333333332,0.9333333333333335,0.00024305555555555539,0.000972222222222221
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,20,0.08965295210803197,0.12174590111339144,0.00048652219865949367,0.0005698377446507378,0.9291666666666666,0.9166666666666666,0.0009722222222222238,0.0009722222222222215
0.0005,0.001,0.0009,32,1,3,tanh,tanh,xavier,0,0.10523653981783872,0.12930122553627393,0.00015335881054630423,2.0797526292548422e-05,0.9333333333333332,0.9250000000000002,0.00024305555555555539,0.0004166666666666656
0.0005,0.001,0.0009,32,1,3,tanh,tanh,xavier,10,0.10051604703700921,0.15506617747186338,0.0003270683112274564,0.0011936203127606135,0.9333333333333332,0.9250000000000002,0.00024305555555555539,0.0004166666666666656
0.0005,0.001,0.0009,32,1,3,tanh,tanh,xavier,20,0.0945468832945487,0.12115615071425401,9.783641604583181e-05,7.811515625225872e-05,0.9333333333333332,0.9333333333333332,3.472222222222198e-05,0.0001388888888888879
0.0005,0.001,0.0009,32,1,10,tanh,tanh,uniform,0,0.0868987849088944,0.12570887240983245,0.0003159203378305157,0.0010858459439673075,0.9416666666666668,0.9083333333333332,0.00024305555555555539,0.0018055555555555557
0.0005,0.001,0.0009,32,1,10,tanh,tanh,uniform,10,0.0783155853836274,0.11147096208110141,8.567924988446696e-05,0.0005040277660047207,0.9375,0.9333333333333332,0.00010416666666666593,0.000555555555555554
0.0005,0.001,0.0009,32,1,10,tanh,tanh,uniform,20,0.07487871852373522,0.09900311174614103,3.3733543834772575e-05,8.002375090471967e-05,0.9333333333333332,0.9333333333333332,0.00024305555555555539,0.000972222222222221
0.0005,0.001,0.0009,32,1,10,tanh,tanh,xavier,0,0.07833996501037134,0.12325686834188494,0.0007181759667370971,0.001243900002865018,0.9291666666666667,0.9249999999999999,0.0018055555555555587,0.003750000000000001
0.0005,0.001,0.0009,32,1,10,tanh,tanh,xavier,10,0.081269251032886,0.11491525503896538,4.962619295495266e-05,0.000517042510820533,0.9333333333333332,0.9,0.0001388888888888879,0.001666666666666666
0.0005,0.001,0.0009,32,1,10,tanh,tanh,xavier,20,0.07997043019986477,0.11609625123025497,4.5029909154029606e-05,0.00012738063873431738,0.9333333333333332,0.9333333333333332,0.0001388888888888879,0.000555555555555554
0.0005,0.001,0.0009,32,2,3,tanh,tanh,uniform,0,0.08217087041134748,0.10634581307347,0.00025588941114964035,0.0008365941120689369,0.9333333333333332,0.9333333333333335,0.00024305555555555539,0.000972222222222221
0.0005,0.001,0.0009,32,2,3,tanh,tanh,uniform,10,0.07205773347107837,0.10564717747766617,0.00040066002138021547,0.001174488534552976,0.9416666666666668,0.9249999999999999,0.0006597222222222221,0.0029166666666666664
0.0005,0.001,0.0009,32,2,3,tanh,tanh,uniform,20,0.07495391246048773,0.1049407380440172,5.664510417782896e-05,6.554054647046251e-05,0.9333333333333332,0.9333333333333332,3.472222222222198e-05,0.0001388888888888879
0.0005,0.001,0.0009,32,2,3,tanh,tanh,xavier,0,0.08028431227539135,0.09730154144836539,4.359246708202649e-05,2.0165019151868796e-05,0.9416666666666668,0.9416666666666668,3.472222222222198e-05,0.0001388888888888879
0.0005,0.001,0.0009,32,2,3,tanh,tanh,xavier,10,0.075477508414436,0.10244685186758923,6.548736441052464e-05,0.0001239829701474952,0.9333333333333332,0.9333333333333332,0.0001388888888888879,0.0005555555555555541
0.0005,0.001,0.0009,32,2,3,tanh,tanh,xavier,20,0.07682387507252465,0.09772275964551332,7.00593447349184e-05,0.0002151821992256722,0.9333333333333332,0.9333333333333332,3.472222222222198e-05,0.0001388888888888879
0.0005,0.001,0.0009,32,2,10,tanh,tanh,uniform,0,0.0581508102528287,0.09005241267407725,3.0603964251901095e-05,0.00031747053490444917,0.9333333333333332,0.9250000000000002,3.472222222222198e-05,1.232595164407831e-32
0.0005,0.001,0.0009,32,2,10,tanh,tanh,uniform,10,0.05557930083480206,0.08608666508625325,2.6329327363873742e-05,0.0004110923461130201,0.9416666666666668,0.9333333333333332,3.472222222222198e-05,0.0001388888888888879
0.0005,0.001,0.0009,32,2,10,tanh,tanh,uniform,20,0.041712447441078736,0.09081791512381127,6.441727928227986e-05,0.00045473610959878216,0.9583333333333334,0.8916666666666667,0.00045138888888889,0.000972222222222224
