lambda,stepsize,epsilon,batch_size,layer_number,neuron,activation,activation_output,initialization,seed,error_train,error_test,error_train_variance,error_test_variance,acc_train,acc_test,acc_train_variance,acc_validation_variance
0.0005,0.01,0.0009,32,1,3,tanh,tanh,uniform,0,0.00209674430905878,0.003581929388943229,2.5346624829038018e-08,1.880895641009917e-06,1.0,1.0,0.0,0.0
0.0005,0.01,0.0009,32,1,3,tanh,tanh,uniform,10,0.0019395995842657503,0.0025496200551631057,2.1982230197220086e-08,1.737688618636107e-07,1.0,1.0,0.0,0.0
0.0005,0.01,0.0009,32,1,3,tanh,tanh,uniform,20,0.0017856939918579927,0.006045670758450558,1.5402822785036943e-08,3.793534540187174e-06,1.0,1.0,0.0,0.0
0.0005,0.01,0.0009,32,1,3,tanh,tanh,uniform,40,0.0019579682945309617,0.008363909656020569,5.4857059263305706e-08,5.95557170313761e-05,1.0,0.991869918699187,0.0,0.0001321964439156589
0.0005,0.01,0.0009,32,1,3,tanh,tanh,uniform,50,0.0019496052839420236,0.004811213130168118,1.1201675492855314e-08,2.1074255286347392e-05,1.0,1.0,0.0,0.0
0.0005,0.1,0.0009,32,1,3,tanh,tanh,uniform,0,0.0003336630487275145,0.0170111343681081,4.041795938241238e-09,0.0005217427769511928,1.0,0.983739837398374,0.0,0.0005287857756626356
0.0005,0.1,0.0009,32,1,3,tanh,tanh,uniform,10,0.0012538487157728242,0.01175586593024245,7.21949739964438e-07,0.00017090279082359564,1.0,0.991869918699187,0.0,0.0001321964439156589
0.0005,0.1,0.0009,32,1,3,tanh,tanh,uniform,20,0.0005278716754779747,0.0008849834445213032,9.430017149510285e-09,1.1126969217097767e-10,1.0,1.0,0.0,0.0
0.0005,0.1,0.0009,32,1,3,tanh,tanh,uniform,40,0.0005667961145290659,0.023071687863630785,9.65745618934196e-08,0.0009879068462232369,1.0,0.9674796747967479,0.0,0.0021151431026505377
0.0005,0.1,0.0009,32,1,3,tanh,tanh,uniform,50,0.0004298048587490501,0.02733050838591418,8.293649402101324e-09,0.0013990755089389201,1.0,0.9674796747967479,0.0,0.0021151431026505377
0,0.01,0.0009,32,1,3,tanh,tanh,uniform,0,0.0006458775298642709,0.0008956076097645904,3.591647266331951e-08,7.612796109296173e-13,1.0,1.0,0.0,0.0
0,0.01,0.0009,32,1,3,tanh,tanh,uniform,10,0.0005983861043301536,0.000875488661776641,1.2368897897730892e-08,4.252056899641846e-10,1.0,1.0,0.0,0.0
0,0.01,0.0009,32,1,3,tanh,tanh,uniform,20,0.00034219938230447823,0.008915871263516164,7.085311572909895e-08,3.259457433949112e-05,1.0,1.0,0.0,0.0
0,0.01,0.0009,32,1,3,tanh,tanh,uniform,40,0.00029506834732950245,0.02517342429933284,1.7880266361413713e-08,0.0006381737820870106,1.0,0.975609756097561,0.0,0.0011897679952409266
0,0.01,0.0009,32,1,3,tanh,tanh,uniform,50,0.0002460028982861388,0.005569967866454474,8.020200735963093e-09,4.383283754077785e-05,1.0,0.991869918699187,0.0,0.0001321964439156589
0,0.1,0.0009,32,1,3,tanh,tanh,uniform,0,0.03344947999879159,0.11607947391837507,0.0015331497528218798,0.011858715198855846,0.9634146341463414,0.8617886178861789,0.001883799325798135,0.0175821270407826
0,0.1,0.0009,32,1,3,tanh,tanh,uniform,10,0.03205919997118048,0.05857373385583723,0.0020200242552109306,0.006654122105726913,0.9512195121951219,0.8699186991869919,0.004759071980963713,0.03384228964240862
0,0.1,0.0009,32,1,3,tanh,tanh,uniform,20,0.030900004649555345,0.12887684567878893,0.0004832923801167066,0.008755392481110399,0.9634146341463414,0.8455284552845529,0.0006940313305572092,0.012823055059818891
0,0.1,0.0009,32,1,3,tanh,tanh,uniform,40,0.007513323618391931,0.1797038069758697,0.00011207280207648346,0.012144108758245528,0.991869918699187,0.8048780487804877,0.0001321964439156589,0.017053341265119964
0,0.1,0.0009,32,1,3,tanh,tanh,uniform,50,0.06480561226489963,0.12731363459874165,0.0002078519711556934,0.007226402023408577,0.9227642276422765,0.8536585365853658,3.3049110978914726e-05,0.008328375966686494
