lambda,stepsize,epsilon,batch_size,layer_number,neuron,activation,activation_output,initialization,seed,error_train,error_test,error_train_variance,error_test_variance,acc_train,acc_test,acc_train_variance,acc_validation_variance
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,0,0.14661429762043446,0.21780603198933216,0.00019733695273605956,0.0005857412997244635,0.7804878048780487,0.6829268292682927,0.0020820939916716234,0.0015863573269879032
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,10,0.1459578590481525,0.19874399763567974,0.000127223827373746,0.0005881096117251435,0.8089430894308943,0.7317073170731708,0.00023134377685240156,0.0027761253222288334
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,20,0.14480800002987454,0.2059660776272837,2.1810046075283515e-05,0.00018827708698052002,0.8252032520325203,0.6666666666666666,0.0006279331085993774,0.008063983078855176
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,40,0.13552109782286012,0.2231462353964948,0.00021998128473097738,0.0006400395534705961,0.8292682926829268,0.6829268292682927,0.0024786833234186,0.0011897679952409266
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,50,0.15180769599622032,0.18169742509734985,1.9290123201201916e-05,0.0003340814248447074,0.8170731707317073,0.7317073170731708,9.914733293674327e-05,0.0035693039857227853
0.0005,0.001,0.0009,32,1,7,tanh,tanh,uniform,0,0.12554157825326717,0.17080164816015572,8.115478612244701e-05,0.001031373476480264,0.8252032520325203,0.7560975609756099,0.0009253751074096098,0.00039658933174697666
0.0005,0.001,0.0009,32,1,7,tanh,tanh,uniform,10,0.133266948617427,0.18913381986874467,6.618318809771349e-06,0.00018019419514880635,0.8414634146341463,0.6991869918699187,9.914733293674416e-05,0.0033049110978914664
0.0005,0.001,0.0009,32,1,7,tanh,tanh,uniform,20,0.11553322183416274,0.1729170375545994,2.4070193171850018e-05,0.00012834855784249664,0.8414634146341463,0.7398373983739838,0.0012889153281776715,0.0009253751074096123
0.0005,0.001,0.0009,32,1,7,tanh,tanh,uniform,40,0.1205856574170896,0.20504146665676568,0.00024144050719916816,0.0025832975097306973,0.8536585365853658,0.7154471544715447,0.0015863573269879032,0.004891268424879373
0.0005,0.001,0.0009,32,1,7,tanh,tanh,uniform,50,0.1340741501738745,0.1941940243085761,8.997670568506921e-05,0.0009540182534554072,0.8048780487804877,0.6747967479674797,0.002082093991671623,0.0009253751074096098
0.0005,0.001,0.0009,124,1,3,tanh,tanh,uniform,0,0.13860941409058766,0.17584213450546518,7.475969684398701e-05,0.00018412080358670883,0.8536585365853658,0.7642276422764228,0.0012889153281776741,0.0017185537709035659
0.0005,0.001,0.0009,124,1,3,tanh,tanh,uniform,10,0.13463785555797086,0.19871383251585298,0.00022344784243612023,0.0003227201991265491,0.8373983739837398,0.7154471544715447,0.0043955317601956515,0.00647762575186727
0.0005,0.001,0.0009,124,1,3,tanh,tanh,uniform,20,0.1345386620509443,0.18784027779869958,0.000418421859549714,5.345827299682616e-05,0.8252032520325203,0.7398373983739838,0.003007469099081235,0.002511732434397515
0.0005,0.001,0.0009,124,1,3,tanh,tanh,uniform,40,0.10855153685115347,0.15972233444200074,5.070893078371828e-05,0.0005380757860096805,0.8780487804878049,0.8211382113821138,9.914733293674416e-05,0.0005287857756626332
0.0005,0.001,0.0009,124,1,3,tanh,tanh,uniform,50,0.12775272413175953,0.18367493785009645,5.227521230187405e-07,0.00029973888621610427,0.8658536585365854,0.7804878048780487,9.914733293674416e-05,0.008328375966686494
0.0005,0.001,0.0009,124,1,7,tanh,tanh,uniform,0,0.054191267876572,0.1121305640097166,1.8498880009902136e-05,0.0004642924913598252,0.975609756097561,0.8699186991869919,9.914733293674416e-05,0.002511732434397514
0.0005,0.001,0.0009,124,1,7,tanh,tanh,uniform,10,0.07869164730614242,0.1317821271198503,9.543627697340894e-05,0.0003429183847311636,0.9430894308943089,0.8292682926829268,0.0008262277744728652,0.0003965893317469749
0.0005,0.001,0.0009,124,1,7,tanh,tanh,uniform,20,0.07021462070327411,0.11894086838405982,4.2820520356888295e-05,0.00019880420950707948,0.9512195121951219,0.8455284552845529,0.0002974419988102307,0.002511732434397514
0.0005,0.001,0.0009,124,1,7,tanh,tanh,uniform,40,0.05597139259786003,0.13599101958418142,4.816929746432128e-05,0.0007655607349724146,0.975609756097561,0.7804878048780487,0.0002974419988102325,0.0027761253222288317
0.0005,0.001,0.0009,124,1,7,tanh,tanh,uniform,50,0.09732095479458835,0.15836528346706788,2.403579511875494e-05,4.73814588991024e-05,0.8902439024390244,0.7560975609756099,0.0006940313305572092,0.00039658933174697666
0.0005,0.1,0.0009,32,1,3,tanh,tanh,uniform,0,0.0048720972006853136,0.18475058561195754,3.40218837209387e-05,0.019105871792201825,0.9959349593495935,0.8130081300813008,3.3049110978914726e-05,0.025513913675722127
0.0005,0.1,0.0009,32,1,3,tanh,tanh,uniform,10,0.0005460175441570975,0.0033989270404332465,1.2336633550403833e-08,1.261963352839267e-05,1.0,1.0,0.0,0.0
0.0005,0.1,0.0009,32,1,3,tanh,tanh,uniform,20,0.00032456854440007955,0.007656393563621431,5.138951919847373e-08,3.653287253653464e-06,1.0,0.991869918699187,0.0,0.0001321964439156589
0.0005,0.1,0.0009,32,1,3,tanh,tanh,uniform,40,0.000465603695040379,0.017391182781903512,1.3721596542640104e-08,0.0005458270220733996,1.0,0.975609756097561,0.0,0.0011897679952409266
0.0005,0.1,0.0009,32,1,3,tanh,tanh,uniform,50,0.00044116160783167407,0.035735546235264766,3.0057880076819477e-10,0.0008355890779122556,1.0,0.959349593495935,0.0,0.0009253751074096098
0.0005,0.1,0.0009,32,1,7,tanh,tanh,uniform,0,0.0006000630929129572,0.028908641060926804,1.3376843990822292e-08,0.0011451636265991155,1.0,0.9674796747967479,0.0,0.0021151431026505377
0.0005,0.1,0.0009,32,1,7,tanh,tanh,uniform,10,0.0008620585968598507,0.02520702337926393,4.208471304013371e-07,0.0005660592157769644,1.0,0.9512195121951219,0.0,0.0015863573269879032
0.0005,0.1,0.0009,32,1,7,tanh,tanh,uniform,20,0.00038101542446425835,0.02800131120464333,2.8082389395221157e-08,0.000866351146109921,1.0,0.959349593495935,0.0,0.0017185537709035615
0.0005,0.1,0.0009,32,1,7,tanh,tanh,uniform,40,0.0006732386697274937,0.00882672610672327,9.188403308688919e-08,0.00012619826830774096,1.0,0.991869918699187,0.0,0.0001321964439156589
0.0005,0.1,0.0009,32,1,7,tanh,tanh,uniform,50,0.0006707432502256917,0.003273792930819147,1.2901717121068963e-07,1.1578320028835597e-05,1.0,1.0,0.0,0.0
0.0005,0.1,0.0009,124,1,3,tanh,tanh,uniform,0,0.008362532120957616,0.03287762421297258,0.00010097061684805053,0.0006199478546325775,0.991869918699187,0.959349593495935,0.0001321964439156589,0.0009253751074096098
0.0005,0.1,0.0009,124,1,3,tanh,tanh,uniform,10,0.000283478842990356,0.027420840258701038,4.363729997405063e-09,0.0014179712529975997,1.0,0.9674796747967479,0.0,0.0021151431026505377
0.0005,0.1,0.0009,124,1,3,tanh,tanh,uniform,20,0.00026756633509653657,0.0009743871161459498,3.1965969357866918e-09,1.1224893634624366e-08,1.0,1.0,0.0,0.0
0.0005,0.1,0.0009,124,1,3,tanh,tanh,uniform,40,0.0005502385265218691,0.09743220685563059,3.371728866070914e-08,0.008525176622458561,1.0,0.9024390243902439,0.0,0.008328375966686495
0.0005,0.1,0.0009,124,1,3,tanh,tanh,uniform,50,0.00016232318561497315,0.020632921978461127,6.334528569292994e-11,0.0005172560211222744,1.0,0.9674796747967479,0.0,0.0009253751074096093
0.0005,0.1,0.0009,124,1,7,tanh,tanh,uniform,0,0.0027946883831640097,0.031126889149296077,1.4540024562002298e-05,0.0004399665185307171,1.0,0.959349593495935,0.0,0.0009253751074096098
0.0005,0.1,0.0009,124,1,7,tanh,tanh,uniform,10,0.0006835434502188466,0.01722604924489545,5.735418005607749e-07,0.00020266253318987001,1.0,0.983739837398374,0.0,0.0005287857756626356
0.0005,0.1,0.0009,124,1,7,tanh,tanh,uniform,20,0.0001288798302973831,0.023827506512395874,1.8836662058388785e-09,5.074599828442224e-05,1.0,0.9512195121951219,0.0,0.0
0.0005,0.1,0.0009,124,1,7,tanh,tanh,uniform,40,0.0006056364655793646,0.012711523525512976,1.437406826010821e-07,0.0001475297118548774,1.0,0.991869918699187,0.0,0.0001321964439156589
0.0005,0.1,0.0009,124,1,7,tanh,tanh,uniform,50,0.00019754268373676866,0.017387520617240516,2.0504699529502102e-09,0.0001386668456823329,1.0,0.975609756097561,0.0,0.00039658933174697666
0,0.001,0.0009,32,1,3,tanh,tanh,uniform,0,0.04060327245314095,0.0947487939876754,7.054203068545044e-05,0.0003236478971403668,0.983739837398374,0.8861788617886179,0.0001321964439156589,0.0009253751074096123
0,0.001,0.0009,32,1,3,tanh,tanh,uniform,10,0.06248927012821307,0.11488620170923979,5.9147972679560785e-05,0.00015636551117738067,0.9065040650406503,0.8455284552845529,0.001421111772093331,0.0017185537709035626
0,0.001,0.0009,32,1,3,tanh,tanh,uniform,20,0.03919439180292237,0.10719528827588747,3.0437305732275763e-05,0.0015942418152050987,0.9878048780487805,0.8780487804878048,9.914733293674416e-05,0.012294269284156258
0,0.001,0.0009,32,1,3,tanh,tanh,uniform,40,0.05094203727524435,0.10267917109250814,1.3754360319523173e-05,0.00017916338325897727,0.9634146341463414,0.8699186991869919,9.914733293674416e-05,0.003701500429638438
0,0.001,0.0009,32,1,3,tanh,tanh,uniform,50,0.024031669396490613,0.06476797887390871,7.962598806250247e-06,0.0005633210533704346,1.0,0.9349593495934959,0.0,0.0021151431026505377
0,0.001,0.0009,32,1,7,tanh,tanh,uniform,0,0.008170200566864932,0.0540225148942348,5.53356088118968e-07,9.655941970987815e-05,1.0,0.9349593495934959,0.0,0.0005287857756626333
0,0.001,0.0009,32,1,7,tanh,tanh,uniform,10,0.013268692939757574,0.10049544266242812,1.360639767424945e-05,0.0006223808974510961,1.0,0.8455284552845529,0.0,0.0017185537709035626
0,0.001,0.0009,32,1,7,tanh,tanh,uniform,20,0.005541885915242249,0.0808464337755634,1.5654030423940337e-07,9.814829850592848e-06,1.0,0.8861788617886179,0.0,0.0005287857756626356
0,0.001,0.0009,32,1,7,tanh,tanh,uniform,40,0.020499659698777605,0.08595060665579009,7.801356155951605e-05,1.2992997750217548e-05,0.9878048780487805,0.9024390243902439,9.914733293674416e-05,0.00039658933174697666
0,0.001,0.0009,32,1,7,tanh,tanh,uniform,50,0.02619283154083002,0.09719829176684762,1.1374935451152673e-05,0.0029717341723055958,0.9878048780487805,0.9024390243902438,9.914733293674416e-05,0.00753519730319254
0,0.001,0.0009,124,1,3,tanh,tanh,uniform,0,0.08997451876925365,0.13904384660902255,1.5760307388538636e-05,4.485570493040683e-06,0.9065040650406505,0.8373983739837398,0.00023134377685240308,0.0001321964439156589
0,0.001,0.0009,124,1,3,tanh,tanh,uniform,10,0.11395909864882885,0.1913153887415174,4.220268545280966e-05,0.0001626523247450041,0.8617886178861789,0.7073170731707318,0.0010245224403463565,0.0051556613127106896
0,0.001,0.0009,124,1,3,tanh,tanh,uniform,20,0.08891006312327522,0.15751163481723976,0.0003081371296006605,7.787948116393521e-05,0.8861788617886179,0.7317073170731708,0.0016194064379668218,0.0027761253222288334
0,0.001,0.0009,124,1,3,tanh,tanh,uniform,40,0.06149284182790061,0.13614646957345775,0.00023210148310856297,0.0007874008623803855,0.9512195121951219,0.8130081300813008,0.0006940313305572065,0.005684447088373325
0,0.001,0.0009,124,1,3,tanh,tanh,uniform,50,0.08920020154057144,0.11553287726700777,5.2807940650782294e-05,0.00013830346658521737,0.8983739837398375,0.8780487804878049,0.0001321964439156589,0.00039658933174697666
0,0.001,0.0009,124,1,7,tanh,tanh,uniform,0,0.013726035388845863,0.0870486852563984,1.1276616670355288e-05,0.001421001551439845,1.0,0.9186991869918698,0.0,0.0037015004296384432
0,0.001,0.0009,124,1,7,tanh,tanh,uniform,10,0.02980571906306902,0.06386940685288234,1.3016582117959222e-05,0.0005180211043165266,0.9959349593495935,0.9430894308943089,3.3049110978914726e-05,0.0017185537709035615
0,0.001,0.0009,124,1,7,tanh,tanh,uniform,20,0.02151396692307475,0.08587996207413,2.1404882958327835e-05,0.0009680018267379607,0.991869918699187,0.8943089430894308,0.0001321964439156589,0.004891268424879367
0,0.001,0.0009,124,1,7,tanh,tanh,uniform,40,0.02450051156308605,0.11180670262548564,2.695876264589517e-05,0.00154268406994572,0.991869918699187,0.8211382113821138,3.3049110978914726e-05,0.008063983078855185
0,0.001,0.0009,124,1,7,tanh,tanh,uniform,50,0.045991487970344726,0.1390184636992908,3.8835871461914455e-05,0.00031770074719980303,0.9796747967479674,0.8292682926829268,3.3049110978914726e-05,0.0003965893317469749
0,0.1,0.0009,32,1,3,tanh,tanh,uniform,0,0.012096281375093021,0.19119822008358048,1.211861932821102e-07,0.01906267330676278,0.9878048780487805,0.8048780487804877,0.0,0.019036287923854853
0,0.1,0.0009,32,1,3,tanh,tanh,uniform,10,0.03493918260133924,0.11109952059914868,9.820986894821046e-05,0.011380579007547423,0.959349593495935,0.8780487804878048,0.00023134377685240308,0.01546698393813207
0,0.1,0.0009,32,1,3,tanh,tanh,uniform,20,0.008188253258503508,0.041160998269787835,0.00011852436556926134,0.001835443258047272,1.0,0.9674796747967479,0.0,0.0021151431026505377
0,0.1,0.0009,32,1,3,tanh,tanh,uniform,40,5.707105902470903e-05,0.04360744678653119,6.704500193273057e-10,0.0015937484021010786,1.0,0.9512195121951219,0.0,0.0011897679952409266
0,0.1,0.0009,32,1,3,tanh,tanh,uniform,50,0.06505723287040828,0.11818573606083127,0.0005221394083036193,0.0028105667314530223,0.9186991869918698,0.8861788617886179,0.0006279331085993774,0.0017185537709035659
