lambda,stepsize,epsilon,batch_size,layer_number,neuron,activation,activation_output,initialization,seed,error_train,error_test,error_train_variance,error_test_variance,acc_train,acc_test,acc_train_variance,acc_validation_variance
0,0.1,0.0009,32,1,3,tanh,tanh,uniform,0,0.08770290986438968,0.1883296544458515,0.000978916369272562,0.0025664700080182804,0.875,0.7142857142857143,0.002604166666666664,0.001913265306122451
0,0.1,0.0009,32,1,3,tanh,tanh,uniform,10,0.0004531347680352036,0.0060398844349875795,6.192344340548287e-08,5.3179880049708577e-05,1.0,0.9940476190476191,0.0,7.086167800453553e-05
0,0.1,0.0009,32,1,3,tanh,tanh,uniform,20,0.040257874713684146,0.1527745700872761,0.003195337712037458,0.038255445115120766,0.9523809523809524,0.8095238095238096,0.004535147392290252,0.05980725623582766
0,0.1,0.0009,32,1,3,tanh,tanh,uniform,40,0.011780184818358816,0.03711161203520248,0.0002665328486683303,0.002625436725890088,0.9880952380952381,0.9642857142857143,0.0002834467120181403,0.002551020408163263
0,0.1,0.0009,32,1,3,tanh,tanh,uniform,50,0.05168469279637524,0.12213805553612371,0.005280416984002861,0.01817492605135533,0.9345238095238096,0.8452380952380952,0.00857426303854875,0.033234126984126984
0,0.1,0.0009,32,1,7,tanh,tanh,uniform,0,0.0004112126567608488,0.0008889004688305111,7.512766366619045e-08,2.439299502899256e-11,1.0,1.0,0.0,0.0
0,0.1,0.0009,32,1,7,tanh,tanh,uniform,10,0.0003571291835192403,0.027020042163852412,5.728818955894195e-08,0.001368998084324934,1.0,0.9821428571428571,0.0,0.000637755102040817
0,0.1,0.0009,32,1,7,tanh,tanh,uniform,20,0.00027742484310334844,0.12027945164079452,7.043351813134304e-08,0.005390247849139836,1.0,0.8809523809523809,0.0,0.0036848072562358307
0,0.1,0.0009,32,1,7,tanh,tanh,uniform,40,0.0004931670385785056,0.0008883369049002193,5.745150752783692e-10,1.0956230722944773e-11,1.0,1.0,0.0,0.0
0,0.1,0.0009,32,1,7,tanh,tanh,uniform,50,0.0004011831309360298,0.08140280890114795,1.9050722018358212e-08,0.012973857132518857,1.0,0.9107142857142857,0.0,0.015943877551020415
0,0.1,0.0009,169,1,3,tanh,tanh,uniform,0,0.06715065746828427,0.20823126666625638,0.0006546130376819796,0.00184600929244083,0.9196428571428572,0.7619047619047619,0.001488095238095238,0.0019841269841269823
0,0.1,0.0009,169,1,3,tanh,tanh,uniform,10,0.09118522232181923,0.08374516537790007,0.004103507005351771,0.0034568754601003626,0.8422619047619048,0.8392857142857143,0.012453939909297052,0.01296768707482993
0,0.1,0.0009,169,1,3,tanh,tanh,uniform,20,0.00029928670836262334,0.0008975182064785483,8.155806929730743e-08,2.004189771073351e-12,1.0,1.0,0.0,0.0
0,0.1,0.0009,169,1,3,tanh,tanh,uniform,40,0.00023920707726430952,0.0051162383600848755,9.019483194508268e-08,8.97380139793883e-06,1.0,0.9940476190476191,0.0,7.086167800453553e-05
0,0.1,0.0009,169,1,3,tanh,tanh,uniform,50,0.06263688243476934,0.11098026585007725,0.007819865073560655,0.017954671200665805,0.9077380952380952,0.8571428571428572,0.01702451814058957,0.03146258503401361
0,0.1,0.0009,169,1,7,tanh,tanh,uniform,0,0.00025992501560523617,0.0008975235949352911,5.737124729142008e-08,3.1355492209399183e-12,1.0,1.0,0.0,0.0
0,0.1,0.0009,169,1,7,tanh,tanh,uniform,10,0.00033447631079776085,0.0008962957809267089,3.337495337281908e-08,2.837751425168999e-12,1.0,1.0,0.0,0.0
0,0.1,0.0009,169,1,7,tanh,tanh,uniform,20,0.00012688921798433616,0.057920823121211905,8.313185174271431e-09,0.006144472469849748,1.0,0.9523809523809524,0.0,0.004535147392290252
0,0.1,0.0009,169,1,7,tanh,tanh,uniform,40,0.0004990710510907823,0.0008960501767063816,8.215903769696725e-08,1.5658256845075172e-12,1.0,1.0,0.0,0.0
0,0.1,0.0009,169,1,7,tanh,tanh,uniform,50,5.8279034060673426e-05,0.023117354317562008,1.5207119467189734e-09,0.0007536179018876715,1.0,0.9761904761904762,0.0,0.0004960317460317464
