lambda,stepsize,epsilon,batch_size,layer_number,neuron,activation,activation_output,initialization,seed,error_train,error_test,error_train_variance,error_test_variance,acc_train,acc_test,acc_train_variance,acc_validation_variance
0.0005,0.001,0.0009,32,1,10,tanh,tanh,xavier,0,0.09397946888821185,0.15432786812157076,0.0005587281334729359,0.0017487363051077772,0.9249999999999999,0.8583333333333334,0.000729166666666667,0.010555555555555556
0.0005,0.001,0.0009,32,1,10,tanh,tanh,xavier,10,0.08126366872156686,0.1130948279015071,2.1024808291819135e-05,0.0004946154644956809,0.9333333333333332,0.9333333333333332,3.472222222222198e-05,0.0001388888888888879
0.0005,0.001,0.0009,32,1,10,tanh,tanh,xavier,20,0.07352265910800221,0.1069317730777053,0.00018296653308716925,0.0012518894662896381,0.9416666666666668,0.9416666666666668,0.00024305555555555539,0.000972222222222221
0.0005,0.001,0.0009,32,1,10,tanh,tanh,xavier,40,0.07690607737801458,0.11468926923764444,0.000362018310239063,0.000692384313146553,0.9333333333333332,0.9166666666666666,0.0006597222222222222,0.0009722222222222215
0.0005,0.001,0.0009,32,1,10,tanh,tanh,xavier,50,0.08487469362752958,0.11717071134066426,9.579282936395853e-05,0.00026098588842016955,0.9333333333333332,0.9250000000000002,0.00024305555555555539,0.0004166666666666656
