lambda;stepsize;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;mse_train;mse_test;mse_train_variance;mse_test_variance;acc_train;acc_test;acc_train_variance;acc_validation_variance
0.002;0.8;0.0009;32;1;100;tanh;linear;uniform;2.316.726.482.623.010;2.227.437.806.410.530;27.809.350.089.302.800;41.473.386.394.084.800;0.7764227642276422;0.6747967479674797;0.02521647167691189;0.010443519069337033
0.002;0.8;0.0009;32;1;150;tanh;linear;xavier;6.987.758.669.469.640;6.429.922.471.494.670;6.663.623.706.049.540;5.049.731.817.973.600;0.524390243902439;0.4796747967479675;0.002082093991671623;0.00013219644391565833
0.002;0.8;0.0009;32;1;150;tanh;linear;uniform;251.411.402.159.351;16.935.393.732.880.800;5.297.832.685.895.120;1.038.284.160.411.880;0.6707317073170732;0.6016260162601627;0.03936149117588736;0.005684447088373318
0.0001;0.3;0.0009;32;1;50;sigmoid;linear;uniform;0.10822823126441296;0.1960024297233395;2,67E+10;0.00042716527830304117;0.8821138211382115;0.7317073170731708;0.00023134377685240308;0.0051556613127106896
0.0001;0.3;0.0009;32;1;100;sigmoid;linear;uniform;0.13365086574060175;0.20379565669169875;0.002791542656204062;0.0010461968188180569;0.8211382113821138;0.6991869918699187;0.006378478418930533;0.00409808976138542
0.002;0.3;0.0009;32;1;50;sigmoid;linear;xavier;0.18718555030829054;0.21653482075601196;0.0018409343666821178;0.0018022331651100715;0.7317073170731708;0.7317073170731708;0.0038667459845330167;0.0027761253222288317
0.002;0.8;0.0009;32;1;50;sigmoid;linear;xavier;0.16231319914369977;0.21814585904278108;0.0001823322094431716;0.0005592425574185347;0.7601626016260162;0.6341463414634148;0.0022142904355872866;0.004759071980963713
0.002;0.3;0.0009;32;1;100;sigmoid;linear;xavier;0.17570654835717714;0.21902189658149665;0.0007668519220016846;0.0007925908366227952;0.7357723577235772;0.6341463414634146;0.0065767730848040225;0.0075351973031925435
0.0001;0.3;0.0009;32;1;100;tanh;linear;xavier;0.08377110910847262;0.22415342707472494;0.0004799600196050158;0.003375301361052654;0.9390243902439024;0.7967479674796748;9,91E+10;0.00409808976138542
0.002;0.8;0.0009;32;1;100;sigmoid;linear;xavier;0.14980952551501775;0.22628474649599253;2,38E+09;0.0007201686857915731;0.8008130081300813;0.7154471544715447;0.0001321964439156577;0.0017185537709035615
0.002;0.8;0.0009;32;1;100;sigmoid;linear;uniform;0.15406161723766088;0.23478327933720222;0.0005968801046459998;0.004063056329171792;0.7682926829268292;0.6097560975609756;0.0018837993257981346;0.008328375966686494
