lambda,stepsize,epsilon,batch_size,layer_number,neuron,activation,activation_output,initialization,mse_train,mse_test,mse_train_variance,mse_test_variance,acc_train,acc_test,acc_train_variance,acc_validation_variance
0.0,0.2,0.0009,32,1,25,sigmoid,linear,uniform,0.12149516677493703,0.18042161357549055,0.001137801343874771,0.0019734249104595343,0.875,0.8333333333333334,0.007916666666666667,0.005972222222222225
0.0,0.2,0.0009,32,1,50,sigmoid,linear,uniform,0.07677123604701837,0.11482494719755067,0.0003678393343884061,0.00022343866024793655,0.9291666666666667,0.875,0.0014930555555555554,0.0004166666666666674
0.0,0.2,0.0009,32,1,100,sigmoid,linear,uniform,0.16448062709768785,0.2592538359619436,0.004103820960254868,0.005919066367950968,0.8208333333333333,0.7166666666666667,0.012638888888888889,0.005138888888888892
0.0,0.4,0.0009,32,1,25,sigmoid,linear,uniform,0.09439803413100682,0.1410705090943198,0.00029178122323286846,0.0011582978853771346,0.9,0.8583333333333334,0.0028125000000000025,0.010555555555555556
0.0,0.4,0.0009,32,1,50,sigmoid,linear,uniform,0.10498650900776652,0.1648494078931415,0.001623390728768353,0.002730068656541754,0.9083333333333333,0.85,0.0006597222222222221,0.001666666666666666
0.0,0.4,0.0009,32,1,100,sigmoid,linear,uniform,0.05462763930019091,0.1398356660370414,0.00023909960594299356,0.002062449106285462,0.9625,0.8666666666666667,0.0004166666666666674,0.0026388888888888885
0.0001,0.2,0.0009,32,1,25,sigmoid,linear,uniform,0.08192132949266566,0.11169608110217137,6.3751732065197885e-06,0.0005193314261546144,0.9416666666666668,0.9249999999999999,0.00024305555555555539,0.0004166666666666656
0.0001,0.2,0.0009,32,1,50,sigmoid,linear,uniform,0.0898440106550525,0.10391037638738902,0.00013679639679383058,0.0004859085162747374,0.9249999999999999,0.8916666666666667,0.000729166666666667,0.000972222222222224
0.0001,0.2,0.0009,32,1,100,sigmoid,linear,uniform,0.06796620924596354,0.14297330433109082,0.00016577507671529002,0.001159185930391302,0.9500000000000001,0.8666666666666667,0.00010416666666666685,0.0026388888888888885
0.0001,0.4,0.0009,32,1,25,sigmoid,linear,uniform,0.16686077932616442,0.2353471779526979,0.0029860449026424297,0.011611282986551086,0.8291666666666666,0.8166666666666665,0.0033680555555555534,0.000972222222222221
0.0001,0.4,0.0009,32,1,50,sigmoid,linear,uniform,0.06277523451688578,0.11979920118820409,3.307321906341032e-05,0.0003854697271618167,0.9541666666666666,0.8833333333333334,0.00024305555555555539,0.0034722222222222225
0.0001,0.4,0.0009,32,1,100,sigmoid,linear,uniform,0.31307187875271786,0.35494189656486347,0.10677641020124039,0.08836690424357102,0.7833333333333333,0.7333333333333334,0.0401388888888889,0.027638888888888883
