lambda;stepsize;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;mse_train;mse_test;mse_train_variance;mse_test_variance;acc_train;acc_test;acc_train_variance;acc_validation_variance
0.002;0.3;0.0009;32;1;50;tanh;linear;uniform;0.20140061370619888;0.5245125451326138;0.0016244252858124634;0.0017289091220073817;0.761904761904762;0.5595238095238096;0.0017183956916099763;0.0004960317460317464
0.002;0.8;0.0009;32;1;150;sigmoid;linear;xavier;0.47146914437835535;0.5458685569311216;0.00034945661591108987;0.0010244975698783497;0.4583333333333333;0.4583333333333333;0.014367205215419501;0.015802154195011336
0.0001;0.8;0.0009;32;1;50;sigmoid;linear;xavier;0.5611226247602045;0.5535901230843584;0.09009342337075597;0.08535457265375172;0.5297619047619048;0.5714285714285714;0.012028769841269842;0.013392857142857146
0.0001;0.8;0.0009;32;1;50;tanh;linear;xavier;0.3781907511459089;0.5538203043987583;0.0007517338936335388;0.002020448880092428;0.7023809523809524;0.5833333333333334;0.0017715419501133749;0.0004960317460317447
0.002;0.3;0.0009;32;1;150;sigmoid;linear;uniform;0.5044590460024377;0.5607292411989709;0.0466889935829688;0.057709485255541156;0.4851190476190476;0.48809523809523814;0.0075644841269841235;0.013888888888888893
0.0001;0.8;0.0009;32;1;50;sigmoid;linear;uniform;0.49440871748161536;0.5935644334012552;0.19876766867821946;0.1987670511647113;0.6220238095238095;0.5119047619047619;0.030257936507936498;0.010700113378684808
0.002;0.8;0.0009;32;1;50;sigmoid;linear;uniform;0.5171613812950449;0.601316295567076;0.07785659877131319;0.1195164143409896;0.47321428571428575;0.46428571428571436;0.014721513605442183;0.012117346938775508
0.002;0.3;0.0009;32;1;100;tanh;linear;xavier;0.5776381331440421;0.614298129311197;0.21682266559400254;0.1273587710805957;0.636904761904762;0.5416666666666666;0.0010806405895691623;0.008999433106575964
0.002;0.3;0.0009;32;1;150;tanh;linear;xavier;0.5177153431721607;0.7255906683807897;0.01785531242801392;0.02120210457199874;0.5744047619047619;0.4761904761904762;0.004375708616780042;0.017290249433106575
0.002;0.8;0.0009;32;1;150;sigmoid;linear;uniform;0.6687108746226021;0.7430060483277673;0.05024955013483423;0.05134399114240881;0.5267857142857143;0.48809523809523814;0.009619472789115647;0.013676303854875282
0.0001;0.3;0.0009;32;1;50;tanh;linear;uniform;0.5469716254162166;0.7524236435024134;0.08034260491843753;0.05704162165868317;0.7172619047619048;0.5833333333333334;0.009690334467120183;0.00878684807256236
0.002;0.8;0.0009;32;1;50;tanh;linear;xavier;0.616523653043303;0.7628246406492266;0.06955998568084339;0.05149746868124711;0.6190476190476191;0.4702380952380952;0.013623157596371881;0.006448412698412696
0.002;0.3;0.0009;32;1;100;tanh;linear;uniform;0.3384535261219201;0.7755440329476916;0.002929166601229525;0.004149547980625595;0.7261904761904763;0.5535714285714285;0.0030470521541950124;0.0014880952380952354
0.002;0.8;0.0009;32;1;50;sigmoid;linear;xavier;0.7258857917660447;0.7792922747618799;0.13546413692644002;0.0931921302594968;0.5892857142857143;0.5595238095238095;0.003401360544217684;0.011975623582766437
0.0001;0.3;0.0009;32;1;100;sigmoid;linear;xavier;0.6554202413707164;0.7820348290964448;0.07939808144246682;0.16765512973001528;0.6190476190476191;0.6130952380952381;0.0017183956916099767;0.005598072562358278
0.002;0.8;0.0009;32;1;100;tanh;linear;xavier;0.536933253800277;0.8050095086994044;0.10542557014922266;0.22274272709319407;0.6964285714285715;0.5238095238095238;5,31E+10;0.0004960317460317464
0.0001;0.8;0.0009;32;1;100;tanh;linear;xavier;0.7333208365319291;0.8387397436577239;0.04962164704020051;0.11246692411185345;0.6458333333333334;0.5416666666666666;0.0005491780045351483;0.00474773242630385
0.0001;0.8;0.0009;32;1;50;tanh;linear;uniform;0.8509764326239867;0.9383825034819183;0.6564130609835024;0.22977521334646323;0.6607142857142857;0.6011904761904762;0.0032419217687074836;0.0011337868480725613
0.002;0.8;0.0009;32;1;100;sigmoid;linear;xavier;10.220.347.892.827.600;0.9773897530068091;0.9790652403069018;0.5529547830566773;0.6309523809523809;0.6071428571428571;0.0008680555555555555;0.004039115646258502
0.002;0.8;0.0009;32;1;100;sigmoid;linear;uniform;0.8974939456604408;0.9813386647716413;0.3617973673046017;0.4318502115320501;0.5416666666666666;0.5357142857142857;0.012453939909297052;0.01296768707482993
