lambda,stepsize,epsilon,batch_size,layer_number,neuron,activation,activation_output,initialization,mse_train,mse_test,mse_train_variance,mse_test_variance,acc_train,acc_test,acc_train_variance,acc_validation_variance
0.001,0.2,0.0009,32,1,25,tanh,linear,uniform,0.2136731971757244,0.32778555899691236,0.0009495393323258267,2.0245745883627652e-05,0.6845238095238096,0.5714285714285715,0.003844246031746034,0.004464285714285716
0.001,0.2,0.0009,32,1,50,tanh,linear,uniform,0.1349853392192127,0.3573522212901336,0.0011816547380726985,0.02125269390361041,0.8214285714285715,0.6369047619047619,0.0048363095238095274,0.015376984126984123
0.001,0.2,0.0009,32,1,100,tanh,linear,uniform,0.266092646633231,0.7337178004841579,0.008507819137423813,0.033424743898833105,0.7886904761904763,0.5178571428571429,0.001293225623582767,0.00446428571428571
0.001,0.4,0.0009,32,1,25,tanh,linear,uniform,0.19870457224117002,0.3712073161910798,3.4122034571302746e-05,0.0019112230964459295,0.7142857142857143,0.4880952380952381,5.3146258503400986e-05,0.0053854875283446705
0.001,0.4,0.0009,32,1,50,tanh,linear,uniform,0.1894521660412497,0.4631334335525656,0.0008795144717466489,0.0030622409287538433,0.7827380952380952,0.6666666666666666,0.0013995181405895695,0.0026218820861677998
0.001,0.4,0.0009,32,1,100,tanh,linear,uniform,1.265716557307636,2.1935673989925717,2.320812951833915,4.886384556702883,0.6666666666666666,0.4761904761904761,0.02047902494331066,0.002621882086167801
0.003,0.2,0.0009,32,1,25,tanh,linear,uniform,0.2223082952163006,0.35573963316019475,0.0005005481524939927,0.004767136251174104,0.6994047619047619,0.5595238095238096,0.0007617630385487531,0.001346371882086165
0.003,0.2,0.0009,32,1,50,tanh,linear,uniform,0.1621354698473901,0.35779623994930265,0.0001314795311366332,0.006151132715882504,0.7946428571428571,0.6547619047619048,0.000637755102040817,7.086167800453465e-05
0.003,0.2,0.0009,32,1,100,tanh,linear,uniform,0.20314111294216983,0.47394337226599775,0.008016582839767727,0.001463137580219132,0.7529761904761904,0.5297619047619048,0.010646967120181414,0.001984126984126984
0.003,0.4,0.0009,32,1,25,tanh,linear,uniform,0.2669498647855248,0.4756724481582924,0.004609269120302749,0.004398017480984321,0.6488095238095238,0.43452380952380953,0.007936507936507938,0.003472222222222225
0.003,0.4,0.0009,32,1,50,tanh,linear,uniform,0.4076110831946302,0.6091996108938377,0.0303837153586701,0.0232724828089696,0.6398809523809524,0.5357142857142857,0.013516865079365087,0.0019132653061224494
0.003,0.4,0.0009,32,1,100,tanh,linear,uniform,0.5673291527359966,1.031524916039157,0.11489588824596186,0.3351217055918078,0.636904761904762,0.4761904761904762,0.0141014739229025,0.0004960317460317456
