lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;error_train;error_test;error_train_variance;error_test_variance
0;0,07;adaptive;0,0009;64;1;300;tanh;linear;uniform;3,881381509;5,255019907;0,022026346;0,041134394
0,0005;0,07;adaptive;0,0009;128;1;50;sigmoid;linear;uniform;5,16465782;5,266687273;0,006226684;0,023169253
0;0,07;adaptive;0,0009;128;1;50;sigmoid;linear;xavier;5,222924898;5,278095891;0,001182462;0,009523998
0;0,001;adaptive;0,0009;64;1;150;sigmoid;linear;uniform;5,172355053;5,282126267;0,000312464;0,001364584
0;0,01;adaptive;0,0009;128;1;300;sigmoid;linear;xavier;5,216489303;5,283483038;0,004552068;0,011379611
0;0,07;adaptive;0,0009;64;1;50;sigmoid;linear;xavier;5,226241428;5,283620164;0,000675133;0,001714771
0;0,01;adaptive;0,0009;64;1;150;sigmoid;linear;xavier;5,199723891;5,300144377;0,014416269;0,047065059
0;0,01;adaptive;0,0009;64;1;50;sigmoid;linear;xavier;5,237020528;5,300617202;0,001769282;0,007004907
0;0,07;adaptive;0,0009;64;1;150;sigmoid;linear;xavier;5,213747962;5,301431035;0,008216364;0,010952636
0,0005;0,07;adaptive;0,0009;64;1;50;sigmoid;linear;uniform;5,203067144;5,302350387;0,00646714;0,035218815
0;0,07;adaptive;0,0009;64;1;50;sigmoid;linear;uniform;5,089312988;5,303039405;0,003228114;0,011025792
0;0,01;adaptive;0,0009;128;1;150;sigmoid;linear;xavier;5,221384204;5,305844693;0,00788271;0,022525664
0;0,01;adaptive;0,0009;64;1;50;sigmoid;linear;uniform;5,194246533;5,307452318;0,001426467;0,005176809
0,0005;0,01;adaptive;0,0009;64;1;50;tanh;linear;xavier;5,230583015;5,314336694;0,001812347;0,002151151
0;0,07;adaptive;0,0009;128;1;150;sigmoid;linear;xavier;5,275840477;5,316086492;0,002831189;0,014863192
0;0,01;adaptive;0,0009;64;1;300;sigmoid;linear;xavier;5,217211105;5,323288119;0,001531909;0,012378629
0,0005;0,01;adaptive;0,0009;64;1;50;tanh;linear;uniform;5,189371016;5,330900451;0,003741287;0,006225711
0;0,07;adaptive;0,0009;64;1;300;sigmoid;linear;xavier;5,292157494;5,331234026;0,000402467;0,014455484
0,0005;0,07;adaptive;0,0009;128;1;300;sigmoid;linear;xavier;5,291079251;5,334712611;0,00274331;0,015872396
0;0,01;adaptive;0,0009;64;1;150;tanh;linear;uniform;4,74642576;5,341756143;0,003449516;0,032161182
0,0005;0,07;adaptive;0,0009;128;1;50;sigmoid;linear;xavier;5,242641103;5,34713573;0,000187817;0,001250103
0,0005;0,001;adaptive;0,0009;64;1;300;sigmoid;linear;uniform;5,284010045;5,351472466;0,00408139;0,017730549
0,0005;0,07;adaptive;0,0009;128;1;150;sigmoid;linear;xavier;5,257782414;5,360749435;0,019468385;0,015088796
0,0005;0,01;adaptive;0,0009;128;1;300;sigmoid;linear;xavier;5,326522232;5,362192445;0,021415608;0,053810823
0;0,001;adaptive;0,0009;128;1;300;sigmoid;linear;uniform;5,293110536;5,369007838;0,005471753;0,017132807
0;0,07;adaptive;0,0009;128;1;300;sigmoid;linear;xavier;5,293428192;5,380587268;0,007693434;0,035510197
0,0005;0,01;adaptive;0,0009;64;1;50;sigmoid;linear;uniform;5,334879291;5,395553125;0,004418159;0,01285338
0,0005;0,07;adaptive;0,0009;64;1;50;sigmoid;linear;xavier;5,32655987;5,396801619;0,003445584;0,026557573
0;0,01;adaptive;0,0009;64;1;300;tanh;linear;xavier;5,322145541;5,402698671;0,01147396;0,038779601
0;0,01;adaptive;0,0009;128;1;50;sigmoid;linear;uniform;5,309696548;5,411791087;0,001774064;0,00758399
0,0005;0,01;adaptive;0,0009;64;1;150;sigmoid;linear;xavier;5,422128063;5,4653484;0,00383308;0,02107547
0;0,01;adaptive;0,0009;64;1;150;tanh;linear;xavier;5,349675606;5,472239438;0,00337348;0,004412306
0,0005;0,01;adaptive;0,0009;128;1;150;sigmoid;linear;xavier;5,426794683;5,483902059;0,003547293;0,012533917
0,0005;0,07;adaptive;0,0009;64;1;300;sigmoid;linear;xavier;5,381214333;5,49137942;0,020084449;0,01400036
0;0,01;adaptive;0,0009;128;1;50;sigmoid;linear;xavier;5,450451579;5,492102459;5,92E-05;0,001504708
0,0005;0,01;adaptive;0,0009;64;1;300;sigmoid;linear;xavier;5,362238992;5,493172633;0,000115089;0,005056749
0,0005;0,07;adaptive;0,0009;64;1;150;sigmoid;linear;xavier;5,46720915;5,502285395;0,000870468;0,004138503
0,0005;0,01;adaptive;0,0009;128;1;50;sigmoid;linear;uniform;5,458280803;5,514008736;0,008212622;0,021856152
0,0005;0,01;adaptive;0,0009;64;1;50;sigmoid;linear;xavier;5,482353296;5,521574147;0,005295366;0,013837264
0;0,001;adaptive;0,0009;64;1;300;sigmoid;linear;xavier;5,573055118;5,592715593;0,012025673;0,063244383
0,0005;0,001;adaptive;0,0009;128;1;300;sigmoid;linear;uniform;5,62284772;5,669388595;0,00232892;0,015348039
0,0005;0,01;adaptive;0,0009;128;1;50;sigmoid;linear;xavier;5,675598777;5,721066709;0,017142453;0,064270241
0;0,01;adaptive;0,0009;64;1;50;tanh;linear;xavier;5,681355721;5,785386519;0,001741349;0,003555643
0;0,001;adaptive;0,0009;64;1;50;sigmoid;linear;uniform;5,792132797;5,821487795;0,002042122;0,020275154
0;0,01;adaptive;0,0009;64;1;50;tanh;linear;uniform;5,607547122;5,901984534;0,009377985;0,030756481
0;0,001;adaptive;0,0009;64;1;150;sigmoid;linear;xavier;5,955220244;5,989346248;0,003208671;0,006477525
0;0,001;adaptive;0,0009;128;1;150;sigmoid;linear;uniform;6,026570047;6,069948728;0,008775064;0,033709627
0,0005;0,001;adaptive;0,0009;64;1;150;sigmoid;linear;uniform;6,097838944;6,131287143;0,000540078;0,002249656
0;0,001;adaptive;0,0009;64;1;50;sigmoid;linear;xavier;6,502816739;6,534259288;0,000983409;0,021386054
