lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;error_train;error_test;error_train_variance;error_test_variance
0,0005;0,05;0;0,0009;128;1;30;tanh;linear;uniform;8,027701177;8,085348232;0,015836979;0,142298974
0,0005;0,05;0;0,0009;64;1;30;sigmoid;linear;uniform;8,12051505;8,138404407;0,001415632;0,064433601
0,0005;0,05;0;0,0009;64;1;30;sigmoid;linear;xavier;8,123065559;8,165553232;0,002423616;0,036483511
0,0005;0,07;0,2;0,0009;128;3;30;sigmoid;linear;uniform;8,22628123;8,177587054;9,099101753;7,132354397
0,0005;0,05;0;0,0009;128;1;30;tanh;linear;xavier;8,25596541;8,292233407;0,001091108;0,085467772
0,0005;0,07;0;0,0009;128;3;30;tanh;linear;xavier;8,674763698;8,699008114;0,009966995;0,086804068
0,0005;0,07;0;0,0009;64;3;30;sigmoid;linear;uniform;9,095212062;9,121695342;0,01161815;0,07486244
0,0005;0,07;0;0,0009;64;3;30;sigmoid;linear;xavier;9,108747744;9,154448111;0,001239029;0,00958964
0,0005;0,07;0;0,0009;128;1;30;sigmoid;linear;uniform;9,244571516;9,272233785;0,006789874;0,06979653
0,0005;0,05;0;0,0009;128;3;30;tanh;linear;uniform;9,321716737;9,354983675;0,016814953;0,206485674
0,0005;0,05;0;0,0009;128;3;30;tanh;linear;xavier;9,319465154;9,358415319;0,018589103;0,095847858
0,0005;0,07;0;0,0009;128;1;30;sigmoid;linear;xavier;9,31775827;9,365922997;0,001358329;0,052259202
0,0005;0,05;0;0,0009;64;3;30;sigmoid;linear;uniform;9,591802028;9,611496884;0,004676559;0,043356114
0,0005;0,05;0;0,0009;64;3;30;sigmoid;linear;xavier;9,584828552;9,628919457;0,011616733;0,05462467
0,0005;0,05;0;0,0009;128;1;30;sigmoid;linear;uniform;10,04004249;10,04976663;0,001568624;0,020370334
0,0005;0,05;0;0,0009;128;1;30;sigmoid;linear;xavier;10,0448103;10,06072862;0,006533024;0,029458539
0,0005;0,07;0;0,0009;128;3;30;sigmoid;linear;uniform;10,15979059;10,20020034;0,000505591;0,023540556
0,0005;0,07;0;0,0009;128;3;30;sigmoid;linear;xavier;10,38341356;10,39717104;0,003299436;0,016992493
