lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;error_train;error_test;error_train_variance;error_test_variance
0;0,01;adaptive;0,0009;128;3;30;sigmoid;linear;xavier;1,645151835;3,551755003;0,004166734;0,000194288
0;0,01;adaptive;0,0009;128;1;10;sigmoid;linear;xavier;3,237283045;3,568062615;0,000880388;0,004271959
0;0,001;adaptive;0,0009;64;1;30;sigmoid;linear;xavier;3,408127761;3,568223713;0,001501288;0,003809999
0;0,01;adaptive;0,0009;64;3;10;tanh;linear;xavier;2,161193852;3,616168983;0,048653085;0,01688476
0;0,01;adaptive;0,0009;128;1;10;tanh;linear;xavier;3,335776148;3,643173097;0,029589728;0,00188634
0;0,01;adaptive;0,0009;128;3;10;tanh;linear;uniform;2,202944345;3,669896616;0,003886444;0,041636109
0;0,01;adaptive;0,0009;128;1;10;tanh;linear;uniform;3,374269341;3,704519439;0,009778217;0,033231859
0;0,01;adaptive;0,0009;64;3;30;sigmoid;linear;xavier;1,299500021;3,725392329;0,005225103;0,044705883
0,0005;0,01;adaptive;0,0009;64;1;10;sigmoid;linear;xavier;3,624216948;3,745778901;0,000431987;0,004098775
0;0,01;adaptive;0,0009;64;3;30;sigmoid;linear;uniform;1,251234525;3,761051576;0,006531655;0,005000625
0,0005;0,01;adaptive;0,0009;64;1;10;sigmoid;linear;uniform;3,628664396;3,77659961;0,000634855;0,005256984
0;0,001;adaptive;0,0009;64;3;30;tanh;linear;uniform;1,708191284;3,790719489;0,00183945;0,001969364
0,0005;0,01;adaptive;0,0009;64;3;10;sigmoid;linear;xavier;3,689804228;3,829389029;0,001361185;0,00363985
0;0,01;adaptive;0,0009;64;3;30;tanh;linear;xavier;0,660291225;3,839116334;0,013798242;0,02765666
0,0005;0,01;adaptive;0,0009;64;3;10;sigmoid;linear;uniform;3,705995272;3,878935062;0,008736642;0,017251479
0;0,01;adaptive;0,0009;64;3;30;tanh;linear;uniform;0,550853376;4,020260476;0,001855804;0,025389374
0;0,01;adaptive;0,0009;128;3;30;tanh;linear;xavier;0,770677392;4,024984214;0,015452383;0,008085455
0;0,01;adaptive;0,0009;128;3;30;tanh;linear;uniform;0,653454004;4,274789706;0,001608344;0,018509525
0;0,001;adaptive;0,0009;128;3;30;tanh;linear;uniform;3,57439281;4,765374983;0,003072922;0,028804331
0;0,001;adaptive;0,0009;128;1;30;tanh;linear;uniform;4,724577816;4,855405229;4,94E-05;0,01920861
0,0005;0,01;adaptive;0,0009;128;3;10;tanh;linear;uniform;4,798267338;5,183589986;0,005126012;0,01200628
0,0005;0,01;adaptive;0,0009;128;3;10;tanh;linear;xavier;4,835769977;5,201461442;0,010807687;0,078529159
0;0,001;adaptive;0,0009;128;1;30;tanh;linear;xavier;5,158606032;5,289225331;0,004157157;0,011891631
0,0005;0,01;adaptive;0,0009;128;1;10;tanh;linear;xavier;5,199315232;5,362024295;0,002810119;0,012301711
0,0005;0,01;adaptive;0,0009;128;1;10;tanh;linear;uniform;5,125642614;5,397852979;0,00644089;0,001148643
0;0,001;adaptive;0,0009;128;3;30;tanh;linear;xavier;5,302162669;5,726808139;0,058578212;0,007435275
0,0005;0,01;adaptive;0,0009;128;3;10;sigmoid;linear;xavier;5,599322893;5,791699709;0,00666688;0,00702343
0,0005;0,01;adaptive;0,0009;128;3;10;sigmoid;linear;uniform;5,58665731;5,798514087;0,00426443;0,112491285
0,0005;0,01;adaptive;0,0009;128;1;10;sigmoid;linear;xavier;5,838371352;5,947614003;0,013885968;0,068224636
0,0005;0,01;adaptive;0,0009;128;1;10;sigmoid;linear;uniform;5,854866927;5,99464393;0,004229313;0,152289812
0;0,001;adaptive;0,0009;128;1;30;sigmoid;linear;uniform;5,917372438;6,016620799;0,001546828;0,004465486
0;0,001;adaptive;0,0009;128;3;30;sigmoid;linear;xavier;5,932644241;6,047712801;0,00376397;0,011899775
0;0,001;adaptive;0,0009;64;1;10;tanh;linear;xavier;6,207631666;6,332436001;0,005775358;0,032010529
0;0,001;adaptive;0,0009;64;1;10;tanh;linear;uniform;6,220849204;6,380140845;0,011815596;0,049881596
0;0,001;adaptive;0,0009;128;1;30;sigmoid;linear;xavier;6,495241242;6,582676933;0,006873193;0,00941697
0;0,001;adaptive;0,0009;64;3;10;tanh;linear;xavier;6,772928962;7,000800474;0,24854419;0,236220496
0;0,001;adaptive;0,0009;64;1;10;sigmoid;linear;uniform;7,100580403;7,16612397;0,008120653;0,015036746
0;0,001;adaptive;0,0009;64;1;10;sigmoid;linear;xavier;7,08146021;7,197136387;0,003569441;0,036615338
0;0,001;adaptive;0,0009;64;3;10;tanh;linear;uniform;7,116104076;7,405389969;0,247396251;0,531500825
0;0,001;adaptive;0,0009;64;3;10;sigmoid;linear;uniform;7,843089361;7,950892183;0,002698644;0,062994332
0;0,001;adaptive;0,0009;64;3;10;sigmoid;linear;xavier;7,98030839;8,113927737;0,003535766;0,004760409
0;0,001;adaptive;0,0009;128;3;30;sigmoid;linear;uniform;8,77616182;8,909829829;0,027834878;0,108622052
0;0,001;adaptive;0,0009;128;1;10;tanh;linear;uniform;13,55358975;13,58849649;0,011822834;0,053927525
0;0,001;adaptive;0,0009;128;1;10;tanh;linear;xavier;13,55787463;13,61892624;0,087700178;0,278116153
0;0,001;adaptive;0,0009;128;3;10;tanh;linear;xavier;15,71099792;15,85209242;0,174559293;0,898065357
0;0,001;adaptive;0,0009;128;3;10;tanh;linear;uniform;15,7389994;15,88914852;0,070748827;0,541297533
0;0,001;adaptive;0,0009;128;1;10;sigmoid;linear;uniform;16,92088756;16,93934959;0,021802116;0,115379589
0;0,001;adaptive;0,0009;128;1;10;sigmoid;linear;xavier;16,93225615;16,96685832;0,037337876;0,194880463
0;0,001;adaptive;0,0009;128;3;10;sigmoid;linear;xavier;17,56288773;17,59316822;0,019638379;0,170826901
0;0,001;adaptive;0,0009;128;3;10;sigmoid;linear;uniform;17,71180912;17,74245597;0,064617841;0,250186337
0,0005;0,001;adaptive;0,0009;64;3;30;tanh;linear;uniform;23,78425093;23,79813846;0,05580494;0,240130467
0,0005;0,001;adaptive;0,0009;64;1;30;tanh;linear;uniform;23,96116856;23,98619524;0,091160798;0,39678785
0,0005;0,001;adaptive;0,0009;64;1;30;tanh;linear;xavier;24,00341678;24,01599298;0,009282899;0,025625822
0,0005;0,001;adaptive;0,0009;64;1;30;sigmoid;linear;uniform;24,15678543;24,16329283;0,003155287;0,020636877
0,0005;0,001;adaptive;0,0009;64;1;30;sigmoid;linear;xavier;24,15445913;24,16515452;0,006073137;0,025114545
0,0005;0,001;adaptive;0,0009;64;3;30;tanh;linear;xavier;24,27174395;24,25939601;0,330866232;0,309566345
0,0005;0,001;adaptive;0,0009;64;3;30;sigmoid;linear;uniform;24,48945444;24,49025527;0,00489678;0,031038074
0,0005;0,001;adaptive;0,0009;64;3;30;sigmoid;linear;xavier;24,49701162;24,49725385;0,039952657;0,192969157
