lambda,stepsize,epsilon,batch_size,layer_number,neuron,activation,activation_output,initialization,seed,error_train,error_test,error_train_variance,error_test_variance,acc_train,acc_test,acc_train_variance,acc_validation_variance
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,0,0.08896474987121104,0.1333286634098629,0.0002862182973310344,0.00010303965248781648,0.9375,0.9166666666666666,0.0003124999999999996,0.00013888888888888916
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,10,0.10168203397098269,0.1243092215002007,0.00011179575493021263,8.617290025852607e-05,0.9333333333333332,0.9249999999999999,0.00045138888888888936,0.0012499999999999985
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,20,0.08631214652383268,0.12434923775152085,0.00035980277261116986,0.00035847761658206503,0.9333333333333335,0.9333333333333332,0.00045138888888888936,0.0018055555555555544
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,40,0.09008646798554217,0.1182440282609374,2.360558161366725e-05,8.815798797187509e-05,0.9333333333333332,0.9250000000000002,3.472222222222198e-05,1.232595164407831e-32
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,50,0.0856830796435799,0.10703551822750061,0.00024961023755155464,0.0006966691896915342,0.9416666666666668,0.9416666666666668,0.0004513888888888894,0.0018055555555555544
