lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;mse_train;mse_test;mse_train_variance;mse_test_variance;acc_train;acc_test;acc_train_variance;acc_validation_variance
0.001;0.3;0.8;0.0009;64;3;3;tanh;tanh;uniform;0.0230110037082245;0.06533832865479665;7,70E+10;8,81E+10;0.9833333333333334;0.9333333333333332;0.00013888888888888916;0.000555555555555554
0.001;0.8;0.3;0.0009;64;3;3;tanh;tanh;uniform;0.04616205062898521;0.06723846921743903;1,95E+11;0.00020270484117563238;0.9500000000000001;0.9416666666666668;0.00010416666666666685;0.0001388888888888879
0.001;0.3;0.3;0.0009;64;3;9;tanh;tanh;uniform;0.04722916664266346;0.0718605301252238;2,18E+11;0.000424648392561869;0.9333333333333332;0.9333333333333332;3,47E+10;0.0001388888888888879
0.001;0.3;0.8;0.0009;64;3;9;tanh;sigmoid;uniform;0.017180412291086685;0.07437385957670593;5,23E+10;0.00021846769775800724;0.9916666666666667;0.9083333333333333;3,47E+10;0.00013888888888888916
0.001;0.3;0.3;0.0009;64;1;3;tanh;tanh;uniform;0.05520215106833263;0.07485329732004752;0.00010178625686031922;0.00036857320825177034;0.9375;0.9333333333333332;0.00010416666666666593;0.000555555555555554
0.001;0.8;0.8;0.0009;64;1;3;tanh;sigmoid;uniform;0.052949140279032796;0.07576290739961761;6,76E+10;0.000514413146537073;0.9500000000000001;0.9249999999999999;0.00010416666666666685;0.0012499999999999985
0.001;0.3;0.8;0.0009;64;1;9;tanh;sigmoid;uniform;0.047322682389102776;0.0775964643578351;8,65E+10;0.0006743217425282151;0.9541666666666666;0.9166666666666666;0.0004513888888888879;0.0018055555555555544
0.001;0.8;0.8;0.0009;64;3;3;tanh;sigmoid;uniform;0.038040266913814035;0.07790159189386243;0.00015840213290378515;0.0003757597576581179;0.9583333333333334;0.9166666666666666;0.00045138888888889;0.00013888888888888913
0.001;0.8;0.3;0.0009;64;3;9;tanh;tanh;uniform;0.0372235955829942;0.07868142115680087;3,00E+11;0.0012400355757651892;0.9666666666666667;0.9249999999999999;3,47E+10;0.001666666666666666
0.001;0.3;0.8;0.0009;64;1;9;sigmoid;tanh;uniform;0.06515861251566023;0.07876180589431842;5,63E+10;0.00016618653092137484;0.9333333333333332;0.9333333333333332;0.0001388888888888879;0.0005555555555555541
0.001;0.8;0.3;0.0009;64;3;9;tanh;sigmoid;uniform;0.0494179152334496;0.07909292894242995;3,67E+10;0.00026869978728379204;0.9583333333333334;0.9250000000000002;0.00013888888888888913;0.0004166666666666656
0.001;0.3;0.3;0.0009;64;3;3;tanh;sigmoid;uniform;0.05379230646257327;0.07920837906321943;3,16E+10;1,51E+10;0.9458333333333333;0.9083333333333333;3,47E+10;0.0005555555555555566
0.001;0.8;0.8;0.0009;64;1;9;tanh;sigmoid;uniform;0.04203140686641709;0.07934960179582984;0.0001121565973795932;0.001097784246797629;0.9583333333333334;0.9249999999999999;0.00045138888888889;0.0029166666666666664
0.001;0.3;0.3;0.0009;64;1;9;tanh;sigmoid;uniform;0.06910234732768893;0.08009072693041337;1,27E+11;3,78E+08;0.9333333333333332;0.9333333333333332;3,47E+10;0.0001388888888888879
0.001;0.8;0.3;0.0009;64;3;3;tanh;sigmoid;uniform;0.04941316444499542;0.08026410404795743;0.0001795090718245586;0.0003737841223327971;0.9541666666666666;0.9250000000000002;0.00024305555555555539;0.0004166666666666656
0.001;0.3;0.3;0.0009;64;1;9;tanh;tanh;uniform;0.044097333889004;0.08118260647234105;1,35E+11;7,54E+10;0.9583333333333334;0.9250000000000002;0.00024305555555555539;0.0004166666666666656
0.001;0.8;0.3;0.0009;64;1;9;tanh;sigmoid;uniform;0.06703374369985309;0.08176062549291449;9,56E+10;0.00038114066806296224;0.9333333333333332;0.9333333333333335;0.00024305555555555539;0.000972222222222221
0.001;0.8;0.3;0.0009;64;1;3;tanh;sigmoid;uniform;0.06960124724011565;0.08279552870317497;0.0001458735788677877;0.00031945646596027;0.9375;0.9333333333333335;0.0003124999999999996;0.000972222222222221
0.001;0.3;0.3;0.0009;64;1;3;tanh;sigmoid;uniform;0.06536298550898456;0.08324166194633582;5,49E+11;0.00014023209838065094;0.9416666666666668;0.9333333333333332;3,47E+10;0.0001388888888888879
0.001;0.8;0.3;0.0009;64;1;9;tanh;tanh;uniform;0.045448808150875715;0.08375031421474106;3,87E+10;0.00025073107745129296;0.9583333333333334;0.9250000000000002;3,47E+11;0.0004166666666666656
0.001;0.3;0.3;0.0009;64;3;3;tanh;tanh;uniform;0.04501466041479116;0.08440960850170065;1,29E+11;0.00012507050545790445;0.9625;0.9333333333333332;0.0;0.0001388888888888879
0.001;0.8;0.8;0.0009;64;3;9;tanh;tanh;uniform;0.02220070672442781;0.0854061778942649;1,10E+10;0.0007057614773659328;0.9833333333333334;0.9166666666666666;0.00024305555555555539;0.0009722222222222215
0.001;0.8;0.3;0.0009;64;1;3;tanh;tanh;uniform;0.04695800294026087;0.08571270893580117;8,93E+09;0.0006815598331455563;0.9541666666666666;0.9249999999999999;3,47E+11;0.0004166666666666656
0.001;0.3;0.8;0.0009;64;3;3;tanh;sigmoid;uniform;0.04034169344557879;0.08595815904179571;1,58E+11;0.00012502153283025725;0.9625;0.875;0.00010416666666666685;0.0004166666666666674
0.001;0.8;0.8;0.0009;64;1;9;sigmoid;tanh;uniform;0.06017707362581217;0.08672704644362529;3,94E+11;9,59E+10;0.9416666666666668;0.9249999999999999;0.00024305555555555539;0.0004166666666666656
0.001;0.3;0.8;0.0009;64;1;3;tanh;sigmoid;uniform;0.04766955354990451;0.08830689001426563;7,97E+10;0.0005211584208192297;0.9458333333333333;0.8833333333333333;0.00013888888888888916;0.0026388888888888885
