lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;mse_train;mse_test;mse_train_variance;mse_test_variance;acc_train;acc_test;acc_train_variance;acc_validation_variance
0.0001;0.9;0.7;0.0009;64;3;3;tanh;tanh;uniform;0.0008681316767924956;0.001187792847262345;9,46E+06;1,67E+08;1.0;1.0;0.0;0.0
0.0001;0.7;0.7;0.0009;64;3;3;tanh;tanh;uniform;0.0008512876867528492;0.0014161653367559717;2,99E+07;3,48E+09;1.0;1.0;0.0;0.0
0.0001;0.7;0.9;0.0009;64;3;3;tanh;tanh;uniform;0.02126044397128962;0.018194094672720183;0.0008406044744024214;0.0005986841254264709;1.0;1.0;0.0;0.0
0.002;0.7;0.7;0.0009;64;3;3;tanh;tanh;uniform;0.02043172909485227;0.02511392851860163;2,50E+10;0.00010978229832818712;1.0;1.0;0.0;0.0
0.002;0.9;0.7;0.0009;64;3;3;tanh;tanh;uniform;0.023084814297409568;0.028902153390855227;1,85E+11;9,05E+10;1.0;1.0;0.0;0.0
0.002;0.9;0.9;0.0009;64;3;3;tanh;tanh;uniform;0.05991136718896662;0.05725216802927017;5,85E+10;2,99E+11;1.0;1.0;0.0;0.0
0.002;0.7;0.9;0.0009;64;3;3;tanh;tanh;uniform;0.07387015243611934;0.07885065064916653;0.0018615127321779795;0.0015934844557056866;0.9970238095238096;1.0;1,77E+11;0.0
0.0001;0.9;0.9;0.0009;64;3;3;tanh;tanh;uniform;0.022960483973653717;0.07898682188144455;0.0003210412865709425;0.009101604366072246;0.9910714285714285;0.9107142857142857;0.00015943877551020426;0.015943877551020415
