lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;mse_train;mse_test;mse_train_variance;mse_test_variance;acc_train;acc_test;acc_train_variance;acc_validation_variance
0.002;0.4;0.7;0.0009;64;3;3;tanh;tanh;uniform;0.0480390987438121;0.07160955845882522;0.00015405509550937263;7,06E+10;0.9500000000000001;0.9250000000000002;0.0003124999999999996;0.0004166666666666656
0.002;0.2;0.7;0.0009;64;3;3;tanh;tanh;uniform;0.0489694193746553;0.0809153626056097;4,82E+11;6,44E+10;0.9541666666666666;0.9083333333333333;0.00013888888888888916;0.0005555555555555566
0.0001;0.4;0.9;0.0009;64;3;3;tanh;tanh;uniform;0.009562767103408554;0.08320532748337482;2,80E+10;0.001355274497896436;0.9916666666666667;0.9;3,47E+10;0.0029166666666666664
0.002;0.4;0.9;0.0009;64;3;3;tanh;tanh;uniform;0.04676448867616421;0.10255309870395109;0.00017046697173139953;0.0008024261190110051;0.9541666666666666;0.8916666666666666;0.00013888888888888916;0.0018055555555555544
0.0001;0.2;0.9;0.0009;64;3;3;tanh;tanh;uniform;0.012736465100208228;0.10599412357869165;7,87E+09;0.0011304418298256045;0.9874999999999999;0.8916666666666666;0.00010416666666666685;0.0018055555555555544
0.002;0.2;0.9;0.0009;64;3;3;tanh;tanh;uniform;0.04595241804578868;0.11400120923547102;0.00013199900751986922;0.0026823977241476455;0.9708333333333333;0.8833333333333334;3,47E+10;0.0018055555555555585
0.0001;0.4;0.7;0.0009;64;3;3;tanh;tanh;uniform;0.008833456873391468;0.11741551790993505;5,79E+10;0.003984790358017305;0.9958333333333332;0.8833333333333334;3,47E+10;0.003888888888888885
0.0001;0.2;0.7;0.0009;64;3;3;tanh;tanh;uniform;0.018306985617521466;0.13147645715006867;0.00022960358367086616;0.0013375252925783355;0.9874999999999999;0.8583333333333333;0.00010416666666666685;0.000972222222222224
