lambda,stepsize,momentum,epsilon,batch_size,layer_number,neuron,activation,activation_output,initialization,error_train,error_test,error_train_variance,error_test_variance
0.0,0.01,0.0,0.0009,128,1,200,tanh,linear,uniform,2.555245236921325,3.035889331404025,0.0008631447269211195,0.004803598995978382
0.0,0.01,0.0,0.0009,128,1,200,tanh,linear,xavier,3.3706345643944555,3.4379672550459404,0.0020884472326312157,0.016956906703061568
0.0,0.01,0.0,0.0009,128,1,200,sigmoid,linear,uniform,2.9291019908407456,3.1098691679832817,1.498117974516844e-05,0.001599701764332393
0.0,0.01,0.0,0.0009,128,1,200,sigmoid,linear,xavier,3.304781501801903,3.3457563717240277,0.002196705615830037,0.00946868246342575
0.0,0.07,0.0,0.0009,64,1,30,tanh,linear,uniform,3.2231668349940388,3.4412966956615114,3.7596951789485595e-05,0.003419275180193022
0.0,0.07,0.0,0.0009,64,1,30,tanh,linear,xavier,3.1158716751579534,3.2447756646576003,0.0032232812814133546,0.012300204844773338
0.0,0.07,0.0,0.0009,64,1,30,sigmoid,linear,uniform,3.1162036091176373,3.2210280950829353,0.002282547843199424,0.0009550912125712814
0.0,0.07,0.0,0.0009,64,1,30,sigmoid,linear,xavier,3.237444319624297,3.2864006684860967,0.0012791926056801926,0.005467518115912474
0.0,0.07,0.0,0.0009,64,1,80,tanh,linear,uniform,2.84802260462836,3.2103497842950968,0.0011634793007136012,0.019015285420366776
0.0,0.07,0.0,0.0009,64,1,80,tanh,linear,xavier,2.939895219455085,3.141650247137766,0.0018440787613510062,0.004023209454549631
0.0,0.07,0.0,0.0009,64,1,80,sigmoid,linear,uniform,2.9639432469133262,3.201423708383302,0.0011883273138414481,0.022436049593269225
0.0,0.07,0.0,0.0009,64,1,80,sigmoid,linear,xavier,3.2766177440105353,3.351391742184859,0.002735153596953046,0.0071338401530821145
0.0,0.07,0.0,0.0009,64,1,200,tanh,linear,uniform,2.3904850458648936,3.111303602905027,0.00033966893114167576,0.00030663970119005593
0.0,0.07,0.0,0.0009,64,1,200,tanh,linear,xavier,2.874635680866126,3.0344133952646004,0.002411575839942162,0.010858649837118942
0.0,0.07,0.0,0.0009,64,1,200,sigmoid,linear,uniform,2.754255010753287,3.0393876478812074,0.0039007345252078884,0.007076767714528263
0.0,0.07,0.0,0.0009,64,1,200,sigmoid,linear,xavier,3.402006178371291,3.46628820602882,0.0024563705601512494,0.016075693341768744
0.0,0.07,0.0,0.0009,128,1,30,tanh,linear,uniform,3.2324605951305316,3.403763622185288,0.00632259269607133,0.03160134723334937
0.0,0.07,0.0,0.0009,128,1,30,tanh,linear,xavier,3.097832885112131,3.2161265737133014,0.002062045228864813,0.006156121971407157
0.0,0.07,0.0,0.0009,128,1,30,sigmoid,linear,uniform,3.12010552527766,3.1978569847603175,0.0035815996390608502,0.012647479333581534
0.0,0.07,0.0,0.0009,128,1,30,sigmoid,linear,xavier,3.2671962785342714,3.326444545051803,0.0012744243020575894,0.005504194917361032
0.0,0.07,0.0,0.0009,128,1,80,tanh,linear,uniform,2.810563769073635,3.1309810875275956,0.004084887187395272,0.005325283150538626
0.0,0.07,0.0,0.0009,128,1,80,tanh,linear,xavier,2.9548373479813215,3.109980173841414,0.0004444029505818203,0.0009169430751026275
0.0,0.07,0.0,0.0009,128,1,80,sigmoid,linear,uniform,3.008433312131414,3.1951409626280394,7.593179706401185e-05,0.00774400690966795
0.0,0.07,0.0,0.0009,128,1,80,sigmoid,linear,xavier,3.3193506394323418,3.3633996077726835,0.0013968321616722932,0.03713255272804821
0.0,0.07,0.0,0.0009,128,1,200,tanh,linear,uniform,2.4325867240657875,3.0855006615062517,0.004044114425933416,0.0077998578122836885
0.0,0.07,0.0,0.0009,128,1,200,tanh,linear,xavier,2.8672788479752125,3.0696855581562033,0.00029265976343155443,0.0019116692793061496
0.0,0.07,0.0,0.0009,128,1,200,sigmoid,linear,uniform,2.775660682142995,2.968182012887535,0.0006906365603329803,0.0011537038409807328
0.0,0.07,0.0,0.0009,128,1,200,sigmoid,linear,xavier,3.4416616454450746,3.498124950881799,0.004863330167571655,0.05521334376622065
0.0005,0.001,0.0,0.0009,64,1,30,tanh,linear,uniform,20.755791407514184,20.82339302646321,0.014456765334574717,0.051107228879476295
0.0005,0.001,0.0,0.0009,64,1,30,tanh,linear,xavier,21.204679722930212,21.250462381320023,0.004805515455206797,0.021796016288142706
0.0005,0.001,0.0,0.0009,64,1,30,sigmoid,linear,uniform,11.083037771515405,11.091839673388213,0.002882919562579737,0.011322336258046795
0.0005,0.001,0.0,0.0009,64,1,30,sigmoid,linear,xavier,11.447165632225184,11.466448096969252,0.00864103917081589,0.02538793055852181
0.0005,0.001,0.0,0.0009,64,1,80,tanh,linear,uniform,20.11994206552917,20.28258277240897,0.0039692520474043265,0.034539606108636885
0.0005,0.001,0.0,0.0009,64,1,80,tanh,linear,xavier,21.184716399407737,21.307347752731445,0.0001691368385822182,0.0019624441395984793
0.0005,0.001,0.0,0.0009,64,1,80,sigmoid,linear,uniform,4.01748876251017,4.0489270475411745,0.0020027445736670664,0.011217665769096283
0.0005,0.001,0.0,0.0009,64,1,80,sigmoid,linear,xavier,6.445697829962274,6.452425028764679,0.0015573802776572534,0.003040354222172543
0.0005,0.001,0.0,0.0009,64,1,200,tanh,linear,uniform,17.92869924113943,18.199748736933874,0.02111582197930333,0.03953158655439871
