lambda,stepsize,momentum,batch_size,layer_number,neuron,activation,activation_output,mse_train,mse_test,mse_train_variance,mse_test_variance,acc_train,acc_test,acc_train_variance,acc_validation_variance
0.01,0.6,0.5,1,2,5,sigmoid,tanh,0.2927579444035982,0.3429375453240671,0.0008385298047501403,0.009348201556710551,0.4959349593495935,0.4959349593495935,0.004891268424879369,0.019565073699517484
0.01,0.6,0.5,1,2,5,tanh,sigmoid,0.25672350598195437,0.2662114577005705,0.00016172923800437432,0.0014952969933970477,0.4959349593495935,0.4959349593495935,0.004891268424879369,0.019565073699517484
0.01,0.6,0.5,1,2,5,tanh,tanh,0.47162226558760617,0.3230891770426504,0.041583513532466886,0.006273125348180268,0.4390243902439024,0.6178861788617888,0.0011897679952409283,0.005684447088373325
0.01,0.6,0.5,1,6,5,sigmoid,sigmoid,0.25064178149891336,0.3036582280469873,4.396738996703734e-05,0.002608632112746097,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.6,0.5,1,6,5,sigmoid,tanh,0.2988619583458585,0.3058627920837413,0.002159441363286689,0.007905105337468694,0.4959349593495935,0.4959349593495935,0.004891268424879369,0.019565073699517484
0.01,0.6,0.5,1,6,5,tanh,sigmoid,0.24718574784327443,0.27080397221105074,9.325008706704477e-06,0.0006079855242097067,0.5528455284552846,0.39024390243902446,0.0021151431026505377,0.0075351973031925435
0.01,0.6,0.5,1,6,5,tanh,tanh,0.34309419365104804,0.45692413313025254,0.016711123415434917,0.06853093853662238,0.5528455284552846,0.39024390243902446,0.0021151431026505377,0.0075351973031925435
0.01,0.01,0.01,32,2,5,sigmoid,sigmoid,0.24890820998171595,0.2523761881260565,5.596606960162931e-07,2.7653885229315345e-06,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.01,0.01,32,2,5,sigmoid,tanh,0.26797512521562433,0.28664283524120887,6.299908020630701e-05,0.0029921912880448917,0.5040650406504065,0.5040650406504066,0.004891268424879369,0.019565073699517484
0.01,0.01,0.01,32,2,5,tanh,sigmoid,0.24919641986992522,0.2517101695518562,3.064011882569201e-07,1.4603403146283095e-06,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.01,0.01,32,2,5,tanh,tanh,0.2657280422201034,0.28451992304193735,5.587986950660835e-05,0.002714544902187294,0.5040650406504065,0.5040650406504066,0.004891268424879369,0.019565073699517484
0.01,0.01,0.01,32,6,5,sigmoid,sigmoid,0.24892409799461013,0.2523460179245112,5.489075585163156e-07,2.758187277294744e-06,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.01,0.01,32,6,5,sigmoid,tanh,0.2663548196889199,0.2853030612146,5.6470765630471836e-05,0.0027956492469000116,0.5040650406504065,0.5040650406504066,0.004891268424879369,0.019565073699517484
0.01,0.01,0.01,32,6,5,tanh,sigmoid,0.2492033068640005,0.2516918116880162,2.9880509887231266e-07,1.4134757460480075e-06,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.01,0.01,32,6,5,tanh,tanh,0.26598620165586767,0.2844923739251186,5.92694051067321e-05,0.002721499390130076,0.5040650406504065,0.5040650406504066,0.004891268424879369,0.019565073699517484
0.01,0.01,0.01,1,2,5,sigmoid,sigmoid,0.24509429264679827,0.27504373255650866,1.1315451832631486e-05,0.0003050566860816276,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.01,0.01,1,2,5,sigmoid,tanh,0.24558790296893665,0.2816062795066752,1.1171003791982902e-05,0.0005077885074156754,0.5528455284552846,0.39024390243902446,0.0021151431026505377,0.0075351973031925435
0.01,0.01,0.01,1,2,5,tanh,sigmoid,0.2450926329051419,0.27450236696108593,1.1323746827435045e-05,0.0002920187643451856,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.01,0.01,1,2,5,tanh,tanh,0.24521886052230615,0.27258572074124604,1.18677563855073e-05,0.00025815742804940697,0.5528455284552846,0.39024390243902446,0.0021151431026505377,0.0075351973031925435
0.01,0.01,0.01,1,6,5,sigmoid,sigmoid,0.2450931430708763,0.2744962515640557,1.1331469822087819e-05,0.0002908642113975147,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.01,0.01,1,6,5,sigmoid,tanh,0.24538578570474576,0.2727900643282524,1.245228726583828e-05,0.0003072504315339393,0.5528455284552846,0.39024390243902446,0.0021151431026505377,0.0075351973031925435
0.01,0.01,0.01,1,6,5,tanh,sigmoid,0.2450922133451142,0.2744306481836187,1.1324432781939948e-05,0.00029035647359886734,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.01,0.01,1,6,5,tanh,tanh,0.2452411677307389,0.2763957256512301,1.1894451927654479e-05,0.0003519766222654242,0.5528455284552846,0.39024390243902446,0.0021151431026505377,0.0075351973031925435
0.01,0.01,0.5,32,2,5,sigmoid,sigmoid,0.24573805607173446,0.26455965517453656,8.600358522018296e-06,0.00010807345021550913,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.01,0.5,32,2,5,sigmoid,tanh,0.2454997738032764,0.27942995592978215,1.3304582725296055e-05,0.00036108364648442665,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.01,0.5,32,2,5,tanh,sigmoid,0.2492063854278114,0.2516865402457103,2.977629043184042e-07,1.4145397089163476e-06,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.01,0.5,32,2,5,tanh,tanh,0.1384845868065688,0.3501346371299581,0.00039391678181429827,0.0011741363393016958,0.8699186991869919,0.6829268292682927,0.005188710423689604,0.0011897679952409266
0.01,0.01,0.5,32,6,5,sigmoid,sigmoid,0.2456390636174595,0.2653004461977006,9.226888943230137e-06,0.00011644552651828112,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.01,0.5,32,6,5,sigmoid,tanh,0.24783478020409996,0.2596605054972898,1.3190641954917407e-05,0.00012157968655412492,0.5528455284552846,0.39024390243902446,0.0021151431026505377,0.0075351973031925435
0.01,0.01,0.5,32,6,5,tanh,sigmoid,0.24920193632112556,0.2516933364920832,2.9658652041777223e-07,1.4071261703912116e-06,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.01,0.5,32,6,5,tanh,tanh,0.18327657720056845,0.37825416316895843,0.004441987472113628,0.00048285032018729703,0.7479674796747968,0.48780487804878053,0.01956507369951749,0.012294269284156252
0.01,0.01,0.5,1,2,5,sigmoid,sigmoid,0.24570519173140068,0.2770260729642834,8.82176222445655e-06,0.0004738566832345054,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.01,0.5,1,2,5,sigmoid,tanh,0.25280048503807134,0.25399413365182166,3.7849307896330234e-05,0.00016124728947172773,0.5040650406504065,0.5040650406504066,0.004891268424879369,0.019565073699517484
0.01,0.01,0.5,1,2,5,tanh,sigmoid,0.2450923624432423,0.27442583136140936,1.1324579725597424e-05,0.00029041811996277216,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.01,0.5,1,2,5,tanh,tanh,0.24526617594284353,0.2746397764032629,1.2014908999848702e-05,0.000312355369068216,0.5528455284552846,0.39024390243902446,0.0021151431026505377,0.0075351973031925435
0.01,0.01,0.5,1,6,5,sigmoid,sigmoid,0.24519539502695645,0.27795787912851694,1.1164453437562078e-05,0.00038505248534979474,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.01,0.5,1,6,5,sigmoid,tanh,0.25000028911506633,0.2928568540273659,5.3564537180482236e-05,0.0005272876788077534,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.01,0.5,1,6,5,tanh,sigmoid,0.24509267887455374,0.27435175489532243,1.1327592758551096e-05,0.0002870430935364415,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.01,0.5,1,6,5,tanh,tanh,0.24526819831415003,0.2779165142376156,1.0556122279995615e-05,0.00038811249153495453,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
