lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;error_train;error_test;error_train_variance;error_test_variance
0,0005;0,01;0;0,0009;64;1;200;tanh;linear;xavier;3,252011883;3,291062086;0,000363809;0,002505912
0,0005;0,01;0;0,0009;128;1;200;tanh;linear;xavier;3,239435693;3,299129158;0,001507545;0,005882433
0;0,01;0;0,0009;64;1;30;sigmoid;linear;uniform;3,233587691;3,299424916;0,002265899;0,007525871
0,0005;0,01;0;0,0009;128;1;80;tanh;linear;xavier;3,23445104;3,301113205;0,002316789;0,010166311
0,0005;0,07;0;0,0009;64;1;80;sigmoid;linear;uniform;3,235892444;3,304646739;0,003029104;0,011053367
0,0005;0,01;0;0,0009;64;1;80;tanh;linear;xavier;3,244960659;3,306290593;0,003845528;0,013416263
0;0,001;0;0,0009;128;1;200;sigmoid;linear;uniform;3,262907563;3,317051693;0,001082457;0,005556272
0,0005;0,07;0;0,0009;128;1;30;sigmoid;linear;uniform;3,257400685;3,32216915;0,002039708;0,005200293
0;0,07;0;0,0009;128;1;30;sigmoid;linear;xavier;3,267196279;3,326444545;0,001274424;0,005504195
0,0005;0,01;0;0,0009;128;1;30;tanh;linear;xavier;3,282357965;3,329957883;0,001142394;0,002512998
0,0005;0,01;0;0,0009;128;1;80;sigmoid;linear;uniform;3,267030665;3,338826735;0,000948081;0,002312381
0;0,001;0;0,0009;64;1;80;sigmoid;linear;uniform;3,280383974;3,339870034;0,000501495;0,002033324
0,0005;0,01;0;0,0009;64;1;30;tanh;linear;xavier;3,298152649;3,343842233;0,000512332;0,000900438
0;0,01;0;0,0009;128;1;200;sigmoid;linear;xavier;3,304781502;3,345756372;0,002196706;0,009468682
0,0005;0,01;0;0,0009;64;1;80;sigmoid;linear;uniform;3,293637378;3,348381945;0,003736563;0,009966698
0;0,07;0;0,0009;64;1;80;sigmoid;linear;xavier;3,276617744;3,351391742;0,002735154;0,00713384
0,0005;0,07;0;0,0009;128;1;30;tanh;linear;uniform;3,247625665;3,354104304;0,001191834;0,00317934
0,0005;0,07;0;0,0009;64;1;30;tanh;linear;uniform;3,264997034;3,354294633;0,000857272;0,001760914
0;0,01;0;0,0009;64;1;80;sigmoid;linear;xavier;3,292627881;3,354625718;0,000392453;0,00129377
0;0,01;0;0,0009;64;1;200;sigmoid;linear;xavier;3,299776227;3,358682354;0,00022496;0,000226511
0;0,01;0;0,0009;128;1;80;sigmoid;linear;xavier;3,292906574;3,360042182;0,002028849;0,007710676
0;0,01;0;0,0009;64;1;30;sigmoid;linear;xavier;3,321184541;3,361237509;0,000162786;8,38E-05
0;0,07;0;0,0009;128;1;80;sigmoid;linear;xavier;3,319350639;3,363399608;0,001396832;0,037132553
0;0,01;0;0,0009;64;1;30;tanh;linear;uniform;3,241040437;3,365147595;0,002051061;0,009745361
0;0,01;0;0,0009;128;1;30;sigmoid;linear;uniform;3,293525423;3,36671238;0,000635151;0,00327469
0;0,001;0;0,0009;64;1;200;sigmoid;linear;xavier;3,343395661;3,370690855;7,08E-06;2,90E-05
0,0005;0,07;0;0,0009;64;1;30;sigmoid;linear;uniform;3,300285706;3,372014492;0,001518289;0,005896933
0;0,001;0;0,0009;128;1;80;sigmoid;linear;uniform;3,343325584;3,378680126;0,000149968;0,001065312
0,0005;0,01;0;0,0009;128;1;30;tanh;linear;uniform;3,298049092;3,384495889;0,000448292;0,002635477
0;0,01;0;0,0009;128;1;30;sigmoid;linear;xavier;3,343313138;3,385813484;0,002270866;0,007628902
0,0005;0,07;0;0,0009;128;1;30;sigmoid;linear;xavier;3,346461725;3,390590027;0,001082915;0,001706284
0,0005;0,07;0;0,0009;128;1;80;sigmoid;linear;xavier;3,345223572;3,392877762;0,003389497;0,000297236
0;0,01;0;0,0009;128;1;30;tanh;linear;xavier;3,278624307;3,395102733;0,003624929;0,009554114
0,0005;0,01;0;0,0009;64;1;30;tanh;linear;uniform;3,313215926;3,39822038;0,000192381;0,000834948
0,0005;0,01;0;0,0009;128;1;80;sigmoid;linear;xavier;3,362215964;3,400845365;0,001959576;0,004697516
0;0,07;0;0,0009;128;1;30;tanh;linear;uniform;3,232460595;3,403763622;0,006322593;0,031601347
0,0005;0,07;0;0,0009;64;1;200;sigmoid;linear;xavier;3,369259679;3,404480441;0,001804893;0,002431551
0;0,001;0;0,0009;64;1;80;sigmoid;linear;xavier;3,373245656;3,40571313;0,001722408;0,005278107
0,0005;0,07;0;0,0009;128;1;200;sigmoid;linear;xavier;3,367297548;3,410100162;0,003593455;0,017024289
0,0005;0,07;0;0,0009;64;1;30;sigmoid;linear;xavier;3,386062101;3,421611799;0,000621503;0,010058733
0,0005;0,01;0;0,0009;128;1;200;sigmoid;linear;xavier;3,363995624;3,42373339;0,000673067;0,005127296
0;0,01;0;0,0009;128;1;80;tanh;linear;xavier;3,339792768;3,429498393;0,002177983;0,00765259
0,0005;0,01;0;0,0009;64;1;80;sigmoid;linear;xavier;3,398570254;3,433391691;0,000987885;0,003659378
0;0,01;0;0,0009;128;1;200;tanh;linear;xavier;3,370634564;3,437967255;0,002088447;0,016956907
0;0,07;0;0,0009;64;1;30;tanh;linear;uniform;3,223166835;3,441296696;3,76E-05;0,003419275
0,0005;0,01;0;0,0009;64;1;200;sigmoid;linear;xavier;3,405746414;3,445589775;0,000547795;0,000723023
0,0005;0,001;0;0,0009;128;1;200;sigmoid;linear;uniform;3,418728533;3,451219244;0,005429648;0,02714225
0,0005;0,01;0;0,0009;128;1;30;sigmoid;linear;uniform;3,419425056;3,453812702;3,11E-05;0,000130428
0,0005;0,001;0;0,0009;64;1;200;sigmoid;linear;uniform;3,417011166;3,463061474;0,000273489;0,004782575
0;0,01;0;0,0009;128;1;30;tanh;linear;uniform;3,308711936;3,464962162;0,001027376;0,001732191
0,0005;0,07;0;0,0009;64;1;80;sigmoid;linear;xavier;3,417766921;3,465935143;0,011135119;0,005063547
0;0,07;0;0,0009;64;1;200;sigmoid;linear;xavier;3,402006178;3,466288206;0,002456371;0,016075693
0,0005;0,01;0;0,0009;64;1;30;sigmoid;linear;uniform;3,437570739;3,490154255;0,003705885;0,007013455
0;0,07;0;0,0009;128;1;200;sigmoid;linear;xavier;3,441661645;3,498124951;0,00486333;0,055213344
0,0005;0,01;0;0,0009;128;1;30;sigmoid;linear;xavier;3,473555744;3,500566326;0,000550154;0,001587677
0;0,001;0;0,0009;128;1;200;sigmoid;linear;xavier;3,470959256;3,506539179;0,001696869;0,009539122
0,0005;0,01;0;0,0009;64;1;30;sigmoid;linear;xavier;3,517148539;3,536431344;8,26E-05;0,00119331
0;0,001;0;0,0009;64;1;30;sigmoid;linear;uniform;3,502519797;3,541814862;4,02E-06;0,002703705
0;0,001;0;0,0009;64;1;30;sigmoid;linear;xavier;3,618258456;3,649119192;0,001190081;0,008805567
0;0,001;0;0,0009;128;1;80;sigmoid;linear;xavier;3,664802444;3,684116882;0,000432545;0,001965886
0;0,001;0;0,0009;128;1;30;sigmoid;linear;uniform;4,03338747;4,045172855;0,005761919;0,030359528
0,0005;0,001;0;0,0009;64;1;80;sigmoid;linear;uniform;4,017488763;4,048927048;0,002002745;0,011217666
0,0005;0,001;0;0,0009;128;1;200;sigmoid;linear;xavier;4,668767313;4,675310363;0,002761075;0,017332004
0,0005;0,001;0;0,0009;128;1;80;sigmoid;linear;uniform;4,673278293;4,691824966;0,000115427;0,004732451
0,0005;0,001;0;0,0009;64;1;200;sigmoid;linear;xavier;4,727212243;4,741824686;0,002940459;0,034268549
0;0,001;0;0,0009;128;1;30;sigmoid;linear;xavier;5,089039868;5,100815334;0,002692801;0,002671953
0,0005;0,001;0;0,0009;64;1;80;sigmoid;linear;xavier;6,44569783;6,452425029;0,00155738;0,003040354
0,0005;0,001;0;0,0009;128;1;80;sigmoid;linear;xavier;7,366204415;7,374308473;0,001749306;0,00744704
0,0005;0,001;0;0,0009;64;1;30;sigmoid;linear;uniform;11,08303777;11,09183967;0,00288292;0,011322336
0,0005;0,001;0;0,0009;64;1;30;sigmoid;linear;xavier;11,44716563;11,4664481;0,008641039;0,025387931
0;0,001;0;0,0009;64;1;200;tanh;linear;uniform;12,2207923;12,83947007;0,000287961;0,00873771
0,0005;0,001;0;0,0009;128;1;30;sigmoid;linear;xavier;14,01867415;14,03342548;0,001259011;0,016294502
0,0005;0,001;0;0,0009;128;1;30;sigmoid;linear;uniform;14,18322837;14,1966905;0,000254539;0,002281636
0;0,001;0;0,0009;64;1;80;tanh;linear;uniform;14,72493256;15,29406099;0,029345043;0,000469624
0;0,001;0;0,0009;64;1;30;tanh;linear;uniform;16,91843229;17,1221305;8,58E-05;0,00270291
0,0005;0,001;0;0,0009;64;1;200;tanh;linear;uniform;17,92869924;18,19974874;0,021115822;0,039531587
0;0,001;0;0,0009;128;1;200;tanh;linear;uniform;17,83730084;18,4996393;0,008844453;0,013518191
0;0,001;0;0,0009;64;1;30;tanh;linear;xavier;19,12280767;19,23225281;0,022985828;0,032930323
0;0,001;0;0,0009;64;1;80;tanh;linear;xavier;19,72332115;20,07599139;0,014117884;0,025744713
0,0005;0,001;0;0,0009;64;1;80;tanh;linear;uniform;20,11994207;20,28258277;0,003969252;0,034539606
0;0,001;0;0,0009;64;1;200;tanh;linear;xavier;20,2673019;20,58121903;0,005862586;0,012043837
0,0005;0,001;0;0,0009;64;1;30;tanh;linear;uniform;20,75579141;20,82339303;0,014456765;0,051107229
0,0005;0,001;0;0,0009;64;1;200;tanh;linear;xavier;21,11084073;21,23655955;0,001302012;0,013928773
0,0005;0,001;0;0,0009;64;1;30;tanh;linear;xavier;21,20467972;21,25046238;0,004805515;0,021796016
0,0005;0,001;0;0,0009;64;1;80;tanh;linear;xavier;21,1847164;21,30734775;0,000169137;0,001962444
0;0,001;0;0,0009;128;1;80;tanh;linear;uniform;22,72849266;23,24676919;0,164783338;0,241524802
0,0005;0,001;0;0,0009;128;1;200;tanh;linear;uniform;24,83685487;25,13151519;0,003973301;0,002910354
0;0,001;0;0,0009;128;1;30;tanh;linear;uniform;25,52985197;25,74800825;0,089924399;0,114628587
0,0005;0,001;0;0,0009;128;1;80;tanh;linear;uniform;28,02118873;28,26832329;0,005432321;0,011470937
0;0,001;0;0,0009;128;1;30;tanh;linear;xavier;27,9614496;28,31931236;0,013394136;0,028700042
0;0,001;0;0,0009;128;1;80;tanh;linear;xavier;28,46067952;28,88383315;0,026507651;0,066144506
0,0005;0,001;0;0,0009;128;1;30;tanh;linear;uniform;28,86137229;29,05016321;0,028407754;0,071385153
0;0,001;0;0,0009;128;1;200;tanh;linear;xavier;28,79611357;29,16420491;0,005572531;0,00609623
0,0005;0,001;0;0,0009;128;1;30;tanh;linear;xavier;29,44812033;29,5804865;0,036089789;0,117910369
0,0005;0,001;0;0,0009;128;1;200;tanh;linear;xavier;29,36282326;29,64993512;0,00760466;0,006094787
0,0005;0,001;0;0,0009;128;1;80;tanh;linear;xavier;29,43585476;29,68892149;0,003388685;0,009564151
