lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;error_train;error_test;error_train_variance;error_test_variance
0,0005;0,01;0,2;0,0009;128;3;30;sigmoid;linear;uniform;5,280227448;5,322115154;19,68870348;16,38838612
0;0,01;0;0,0009;128;3;30;sigmoid;linear;xavier;5,689698111;5,718560511;0,007207088;0,013076205
0,0005;0,07;0;0,0009;128;1;30;sigmoid;linear;uniform;5,978394366;6,013886825;0,004269193;0,078953767
0,0005;0,07;0;0,0009;128;1;30;sigmoid;linear;xavier;6,047337722;6,058262789;0,001202527;0,011872118
0,0005;0,07;0;0,0009;64;3;30;sigmoid;linear;uniform;6,056071995;6,064163322;0,000287835;0,006922083
0,0005;0,07;0;0,0009;64;3;30;sigmoid;linear;xavier;6,070291538;6,077441847;0,001521524;0,008103356
0,0005;0,01;0;0,0009;64;3;30;tanh;linear;xavier;6,079431009;6,098792086;0,00303005;0,017070466
0,0005;0,01;0;0,0009;64;3;30;tanh;linear;uniform;6,087971385;6,106254665;0,007718201;0,046362221
0,0005;0,07;0;0,0009;128;3;30;sigmoid;linear;xavier;6,551705847;6,560330536;0,00124078;0,014452068
0,0005;0,07;0;0,0009;128;3;30;sigmoid;linear;uniform;6,551575014;6,56430812;0,000593383;0,000245613
0,0005;0,01;0;0,0009;64;1;30;tanh;linear;uniform;6,590038311;6,599135761;0,006169184;0,026915395
0,0005;0,01;0;0,0009;64;1;30;tanh;linear;xavier;6,615394302;6,622687989;0,001974982;0,001117424
0,0005;0,01;0;0,0009;64;1;30;sigmoid;linear;xavier;8,529959539;8,578281142;0,00423498;0,052444103
0,0005;0,01;0;0,0009;64;1;30;sigmoid;linear;uniform;8,579212754;8,622847659;0,001490765;0,154282262
0,0005;0,01;0;0,0009;128;1;30;tanh;linear;xavier;9,662516173;9,682891541;0,000372545;0,216487826
0,0005;0,01;0;0,0009;128;1;30;tanh;linear;uniform;9,677927073;9,683817654;0,010343132;0,05370688
